description_x,units,price_eu,unit_price,date,order_num,product_code_x,best_match,description_y,product_code_y
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-01-10,302316,,perlas de mozzarella fresca de vaca hacendado,perlas de mozzarella fresca de vaca hacendado,51052.0
refresco coca-cola zero azucar,1,7.56,7.56,2020-01-10,302316,,refresco fanta limon zero azucares anadidos,refresco fanta limon zero azucares anadidos,27608.0
dentifrico triple accion colgate con fluor,2,3.5,1.75,2020-01-10,302316,,dentifrico triple accion colgate con fluor menta original,dentifrico triple accion colgate con fluor menta original,73978.0
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-01-10,302316,,aceite de oliva virgen extra hacendado gran seleccion,aceite de oliva virgen extra hacendado gran seleccion,4706.0
lenteja cocida pardina hacendado,2,0.98,0.49,2020-01-10,302316,,lenteja pardina hacendado categoria extra,lenteja pardina hacendado categoria extra,5330.0
piadinas pan estilo italiano hacendado,1,1.95,1.95,2020-01-10,302316,,pasta estrellas hacendado para sopa,pasta estrellas hacendado para sopa,6363.0
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,,pan de molde espelta 100% integral hacendado natural,pan de molde espelta 100% integral hacendado natural,86467.0
gelatina 0% azucar sabor fresa hacendado,1,0.98,0.98,2020-01-10,302316,,gelatina 0% azucar sabor fresa hacendado gellytina,gelatina 0% azucar sabor fresa hacendado gellytina,68187.0
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-01-10,302316,,alubia cocida roja hacendado,alubia cocida roja hacendado,26000.0
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316,,yogur natural de cabra hacendado,yogur natural de cabra hacendado,20287.0
tomate frito receta artesana hacendado,1,1.7,1.7,2020-01-10,302316,,picatostes fritos hacendado,picatostes fritos hacendado,82786.0
papel higienico doble rollo bosque verde,2,7.64,3.82,2020-01-10,302316,,papel higienico doble hoja bosque verde,papel higienico doble hoja bosque verde,47834.0
atun claro en aceite de oliva hacendado,2,7.98,3.99,2020-01-10,302316,,atun en aceite de oliva hacendado,atun en aceite de oliva hacendado,18030.0
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2020-01-10,302316,,queso untar light philadelphia,queso untar light philadelphia,51079.0
garbanzo cocido hacendado,2,1.4,0.7,2020-01-10,302316,,comino en grano hacendado,comino en grano hacendado,34121.0
hogaza 100% natural,1,1.0,1.0,2020-01-10,302316,,margarina 100% vegetal hacendado,margarina 100% vegetal hacendado,20196.0
agua mineral cortes,2,1.46,0.73,2020-01-10,302316,,agua mineral con gas grande san narciso,agua mineral con gas grande san narciso,27084.0
leche desnatada pascual,2,10.68,5.34,2020-01-10,302316,,leche en polvo desnatada,leche en polvo desnatada,10414.0
dentifrico original binaca,2,3.0,1.5,2020-01-10,302316,,dentifrico blanqueador bicarbonato signal,dentifrico blanqueador bicarbonato signal,74044.0
morcilla oreada d' ontinyent,1,1.34,1.34,2020-01-10,302316,,morcilla de cebolla oreada,morcilla de cebolla oreada,35049.0
huevos grandes l,1,1.45,1.45,2019-02-27,125935,,huevos super grandes xl,huevos super grandes xl,31592.0
discos desmaquillantes deliplus redondos,1,0.95,0.95,2019-02-27,125935,,discos desmaquillantes deliplus redondos algodon 100%,discos desmaquillantes deliplus redondos algodon 100%,79407.0
cebolla amarilla,1,1.89,1.89,2019-02-27,125935,,carrillada de cerdo,carrillada de cerdo,2810.0
ajo morado,1,1.2,1.2,2019-02-27,125935,,medio conejo troceado,medio conejo troceado,25972.0
desodorante roll-on dermo extra control sanex,1,1.8,1.8,2019-02-27,125935,,desodorante roll-on dermo extra control sanex 0% alcohol,desodorante roll-on dermo extra control sanex 0% alcohol,46028.0
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,,esparragos muy gruesos hacendado enteros,esparragos muy gruesos hacendado enteros,16561.0
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,,bebida lactea de frutas del bosque hacendado,bebida lactea de frutas del bosque hacendado,20476.0
compresa con alas normal evax cotton like,1,3.95,3.95,2019-02-27,125935,,compresa con alas super evax cotton like,compresa con alas super evax cotton like,47152.0
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-02-27,125935,,lavavajillas ultra original fairy liquido lavado a mano,lavavajillas ultra original fairy liquido lavado a mano,16805.0
agua mineral cortes,1,0.73,0.73,2019-02-27,125935,,agua mineral con gas grande san narciso,agua mineral con gas grande san narciso,27084.0
