product_code,product_price,collected_timestamp
4241.0,23.63,2023-03-11 
4240.0,4.77,2023-03-11 
4717.0,16.75,2023-03-11 
4740.0,5.63,2023-03-11 
4706.0,5.11,2023-03-11 
4641.0,23.63,2023-03-11 
4640.0,4.77,2023-03-11 
4711.0,15.18,2023-03-11 
4749.0,5.2,2023-03-11 
4718.0,2.34,2023-03-11 
4850.0,4.68,2023-03-11 
4047.0,8.95,2023-03-11 
4046.0,1.95,2023-03-11 
4193.0,4.5,2023-03-11 
4940.0,0.65,2023-03-11 
4954.0,1.3,2023-03-11 
4957.0,0.82,2023-03-11 
4903.0,0.95,2023-03-11 
4908.0,1.8,2023-03-11 
13609.0,1.8,2023-03-11 
66905.0,2.25,2023-03-11 
15843.0,0.95,2023-03-11 
4905.0,2.25,2023-03-11 
4962.0,2.0,2023-03-11 
4965.0,2.7,2023-03-11 
7104.0,3.05,2023-03-11 
19731.0,0.3,2023-03-11 
19715.0,0.5,2023-03-11 
19732.0,0.3,2023-03-11 
19733.0,0.3,2023-03-11 
29007.0,1.5,2023-03-11 
29006.0,1.1,2023-03-11 
19740.0,1.95,2023-03-11 
19734.0,0.95,2023-03-11 
34130.0,1.75,2023-03-11 
29016.0,2.0,2023-03-11 
19713.0,2.1,2023-03-11 
19726.0,3.3,2023-03-11 
19701.0,1.8,2023-03-11 
34180.0,0.65,2023-03-11 
22843.0,0.75,2023-03-11 
19431.0,0.8,2023-03-11 
34131.0,1.1,2023-03-11 
34128.0,1.25,2023-03-11 
34175.0,1.3,2023-03-11 
34174.0,1.05,2023-03-11 
34136.0,1.85,2023-03-11 
34721.0,1.85,2023-03-11 
60873.0,1.3,2023-03-11 
34182.0,0.85,2023-03-11 
34184.0,0.9,2023-03-11 
34186.0,1.4,2023-03-11 
34102.0,1.55,2023-03-11 
34116.0,1.75,2023-03-11 
34115.0,1.7,2023-03-11 
34183.0,1.35,2023-03-11 
34171.0,1.0,2023-03-11 
67693.0,1.65,2023-03-11 
34172.0,1.45,2023-03-11 
67694.0,1.8,2023-03-11 
34170.0,2.15,2023-03-11 
34181.0,0.82,2023-03-11 
34208.0,1.0,2023-03-11 
34177.0,0.95,2023-03-11 
34176.0,1.35,2023-03-11 
34120.0,1.0,2023-03-11 
34121.0,1.95,2023-03-11 
34125.0,1.15,2023-03-11 
34173.0,1.65,2023-03-11 
34717.0,2.05,2023-03-11 
34138.0,0.96,2023-03-11 
34178.0,1.25,2023-03-11 
37417.0,1.54,2023-03-11 
34163.0,1.25,2023-03-11 
34149.0,1.6,2023-03-11 
34130.0,1.75,2023-03-11 
34113.0,1.35,2023-03-11 
34122.0,1.75,2023-03-11 
34068.0,5.0,2023-03-11 
34123.0,1.9,2023-03-11 
34790.0,1.92,2023-03-11 
60869.0,2.84,2023-03-11 
23353.0,0.85,2023-03-11 
37403.0,1.6,2023-03-11 
37402.0,1.4,2023-03-11 
37414.0,1.4,2023-03-11 
34777.0,1.85,2023-03-11 
34702.0,1.4,2023-03-11 
17147.0,1.1,2023-03-11 
37408.0,1.5,2023-03-11 
34134.0,2.5,2023-03-11 
37405.0,2.6,2023-03-11 
22798.0,2.5,2023-03-11 
13406.0,1.35,2023-03-11 
13408.0,1.0,2023-03-11 
13407.0,1.44,2023-03-11 
17092.0,3.45,2023-03-11 
17052.0,1.95,2023-03-11 
67836.0,2.85,2023-03-11 
17010.0,1.65,2023-03-11 
17039.0,2.65,2023-03-11 
17038.0,2.25,2023-03-11 
35361.0,2.0,2023-03-11 
17166.0,2.25,2023-03-11 
15793.0,1.35,2023-03-11 
15794.0,1.5,2023-03-11 
35209.0,1.95,2023-03-11 
23579.0,1.3,2023-03-11 
67586.0,1.4,2023-03-11 
17438.0,3.5,2023-03-11 
35343.0,1.6,2023-03-11 
35207.0,1.4,2023-03-11 
17229.0,1.5,2023-03-11 
17228.0,1.15,2023-03-11 
23410.0,1.25,2023-03-11 
17150.0,1.35,2023-03-11 
17172.0,1.1,2023-03-11 
17173.0,1.5,2023-03-11 
17132.0,1.45,2023-03-11 
17151.0,1.1,2023-03-11 
17108.0,1.0,2023-03-11 
17163.0,2.15,2023-03-11 
17131.0,1.6,2023-03-11 
17153.0,1.2,2023-03-11 
17128.0,1.2,2023-03-11 
17330.0,1.2,2023-03-11 
17154.0,1.35,2023-03-11 
17346.0,1.15,2023-03-11 
17502.0,1.25,2023-03-11 
17347.0,1.35,2023-03-11 
17373.0,1.6,2023-03-11 
17081.0,1.6,2023-03-11 
17396.0,1.0,2023-03-11 
17169.0,1.2,2023-03-11 
17283.0,1.2,2023-03-11 
17410.0,1.45,2023-03-11 
17409.0,1.45,2023-03-11 
17419.0,1.5,2023-03-11 
35184.0,1.6,2023-03-11 
35183.0,1.6,2023-03-11 
17360.0,1.45,2023-03-11 
17362.0,1.65,2023-03-11 
17361.0,1.65,2023-03-11 
22721.0,1.7,2023-03-11 
22613.0,1.65,2023-03-11 
17382.0,2.5,2023-03-11 
3840.0,3.5,2023-03-11 
3852.0,1.75,2023-03-11 
17327.0,1.4,2023-03-11 
17327.0,1.25,2023-03-11 
17386.0,1.35,2023-03-11 
17366.0,1.4,2023-03-11 
17265.0,1.5,2023-03-11 
17263.0,1.35,2023-03-11 
17259.0,3.1,2023-03-11 
17348.0,1.35,2023-03-11 
35344.0,1.75,2023-03-11 
23137.0,2.6,2023-03-11 
86713.0,2.25,2023-03-11 
7307.0,3.0,2023-03-11 
23072.0,1.5,2023-03-11 
23409.0,1.4,2023-03-11 
17290.0,1.8,2023-03-11 
17337.0,3.75,2023-03-11 
17291.0,2.59,2023-03-11 
17441.0,2.9,2023-03-11 
35163.0,1.65,2023-03-11 
28039.0,0.86,2023-03-11 
27335.0,0.75,2023-03-11 
26992.0,1.44,2023-03-11 
26993.0,0.24,2023-03-11 
28572.0,2.4,2023-03-11 
28573.0,0.4,2023-03-11 
27062.0,1.2,2023-03-11 
27514.0,0.2,2023-03-11 
27576.0,1.32,2023-03-11 
27575.0,0.22,2023-03-11 
28035.0,1.23,2023-03-11 
23448.0,2.22,2023-03-11 
23449.0,0.37,2023-03-11 
28491.0,3.0,2023-03-11 
28499.0,0.5,2023-03-11 
27061.0,1.5,2023-03-11 
27054.0,0.25,2023-03-11 
28566.0,2.16,2023-03-11 
28567.0,0.36,2023-03-11 
27314.0,4.38,2023-03-11 
