description,units,price_eu,unit_price,date,order_num,product_code
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-01-10,302316,4740.0
tomate frito receta artesana hacendado,1,1.7,1.7,2020-01-10,302316,17163.0
papel higienico doble rollo bosque verde,2,7.64,3.82,2020-01-10,302316,47818.0
atun claro en aceite de oliva hacendado,2,7.98,3.99,2020-01-10,302316,18002.0
garbanzo cocido hacendado,2,1.4,0.7,2020-01-10,302316,26029.0
huevos grandes l,1,1.45,1.45,2019-02-27,125935,31504.0
tomate frito receta artesana hacendado,1,1.7,1.7,2019-02-27,125935,17163.0
papel higienico doble rollo bosque verde,1,3.74,3.74,2019-02-27,125935,47818.0
garbanzo cocido hacendado,1,0.7,0.7,2019-02-27,125935,26029.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2019-02-27,125935,18002.0
patatas,1,3.85,3.85,2020-10-22,404271,69166.0
huevos grandes l,1,1.45,1.45,2020-10-22,404271,31504.0
papel higienico doble rollo bosque verde,1,3.82,3.82,2020-10-22,404271,47818.0
huevos grandes l,1,1.45,1.45,2020-10-01,466635,31504.0
garbanzo cocido hacendado,2,1.4,0.7,2020-10-01,466635,26029.0
patatas,1,3.95,3.95,2020-10-01,466635,69166.0
huevos grandes l,1,1.45,1.45,2018-04-12,73955,31504.0
garbanzo cocido hacendado,2,1.4,0.7,2018-04-12,73955,26029.0
tomate frito receta artesana hacendado,1,1.7,1.7,2018-04-12,73955,17163.0
papel higienico doble rollo bosque verde,1,3.74,3.74,2018-04-12,73955,47818.0
aceite de oliva virgen extra hacendado,1,3.69,3.69,2019-06-20,208575,4740.0
patatas,1,4.4,4.4,2022-07-13,996926,69166.0
tomate frito receta artesana hacendado,1,1.85,1.85,2022-07-13,996926,17163.0
atun claro en aceite de oliva hacendado,2,7.98,3.99,2019-01-31,107492,18002.0
huevos grandes l,1,1.45,1.45,2019-01-31,107492,31504.0
papel higienico doble rollo bosque verde,1,3.74,3.74,2019-01-31,107492,47818.0
tomate frito receta artesana hacendado,1,1.7,1.7,2019-01-31,107492,17163.0
garbanzo cocido hacendado,1,0.7,0.7,2019-01-31,107492,26029.0
papel higienico doble rollo bosque verde,1,4.75,4.75,2022-09-28,470822,47818.0
garbanzo cocido hacendado,2,1.5,0.75,2022-09-28,470822,26029.0
tomate frito receta artesana hacendado,1,2.2,2.2,2022-09-28,470822,17163.0
huevos grandes l,1,2.15,2.15,2022-09-28,470822,31504.0
atun claro en aceite de oliva hacendado,2,9.3,4.65,2022-09-28,470822,18002.0
aceite de oliva virgen extra hacendado,1,12.7,12.7,2022-09-28,470822,4740.0
patatas,1,4.4,4.4,2022-09-28,470822,69166.0
atun claro en aceite de oliva hacendado,1,3.95,3.95,2021-09-28,209834,18002.0
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-09-28,209834,47818.0
aceite de oliva virgen extra hacendado,1,11.0,11.0,2021-09-28,209834,4740.0
garbanzo cocido hacendado,2,1.6,0.8,2022-04-02,986079,26029.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2019-10-04,156155,18002.0
tomate frito receta artesana hacendado,2,3.4,1.7,2018-11-13,61858,17163.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2018-11-13,61858,18002.0
garbanzo cocido hacendado,1,0.54,0.54,2018-11-13,61858,26029.0
tomate frito receta artesana hacendado,2,3.4,1.7,2021-09-09,101295,17163.0
atun claro en aceite de oliva hacendado,1,3.95,3.95,2021-09-09,101295,18002.0
garbanzo cocido hacendado,2,1.34,0.67,2021-09-09,101295,26029.0
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-09-09,101295,47818.0
aceite de oliva virgen extra hacendado,1,14.7,14.7,2022-09-11,786946,4740.0
tomate frito receta artesana hacendado,1,2.15,2.15,2022-09-11,786946,17163.0
papel higienico doble rollo bosque verde,1,5.0,5.0,2022-09-11,786946,47818.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2020-08-27,134160,18002.0
tomate frito receta artesana hacendado,1,1.7,1.7,2020-08-27,134160,17163.0
garbanzo cocido hacendado,2,1.4,0.7,2020-08-27,134160,26029.0
huevos grandes l,1,1.45,1.45,2020-08-27,134160,31504.0
papel higienico doble rollo bosque verde,1,3.82,3.82,2020-08-27,134160,47818.0
aceite de oliva virgen extra hacendado,1,9.97,9.97,2019-06-19,207666,4740.0
tomate frito receta artesana hacendado,1,1.7,1.7,2019-06-19,207666,17163.0
huevos grandes l,1,1.45,1.45,2019-06-19,207666,31504.0
huevos grandes l,1,2.15,2.15,2022-07-13,996926,31504.0
atun claro en aceite de oliva hacendado,2,9.3,4.65,2022-07-13,996926,18002.0
aceite de oliva virgen extra hacendado,1,12.7,12.7,2022-07-13,996926,4740.0
papel higienico doble rollo bosque verde,1,4.9,4.9,2022-07-13,996926,47818.0
garbanzo cocido hacendado,2,1.56,0.78,2022-07-13,996926,26029.0
atun claro en aceite de oliva hacendado,1,3.95,3.95,2021-10-19,337881,18002.0
papel higienico doble rollo bosque verde,3,11.46,3.82,2020-09-16,6598904,47818.0
garbanzo cocido hacendado,2,1.08,0.54,2020-09-16,6598904,26029.0
huevos grandes l,1,1.45,1.45,2020-09-16,6598904,31504.0
papel higienico doble rollo bosque verde,4,15.28,3.82,2021-06-30,8994847,47818.0
papel higienico doble rollo bosque verde,5,21.5,4.3,2022-03-18,11572189,47818.0
papel higienico doble rollo bosque verde,4,15.28,3.82,2021-04-16,8135057,47818.0
aceite de oliva virgen extra hacendado,4,38.0,9.5,2021-04-16,8135057,4740.0
huevos grandes l,2,5.2,2.6,2020-10-12,7119732,31504.0
patatas,1,4.79,4.79,2020-10-12,7119732,69166.0
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-12-16,10822769,47818.0
atun claro en aceite de oliva hacendado,2,8.0,4.0,2021-09-07,9115773,18002.0
patatas,1,4.19,4.19,2021-09-07,9115773,69166.0
huevos grandes l,3,8.85,2.95,2021-09-07,9115773,31504.0
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-09-07,9115773,47818.0
garbanzo cocido hacendado,1,0.7,0.7,2020-08-28,140937,26029.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2020-08-28,140937,18002.0
aceite de oliva virgen extra hacendado,1,9.5,9.5,2021-08-05,8403972,4740.0
huevos grandes l,1,2.6,2.6,2021-08-05,8403972,31504.0
papel higienico doble rollo bosque verde,1,3.82,3.82,2021-08-05,8403972,47818.0
patatas,1,4.99,4.99,2021-08-05,8403972,69166.0
papel higienico doble rollo bosque verde,1,3.82,3.82,2021-02-18,22016,47818.0
huevos grandes l,1,0.95,0.95,2021-02-18,22016,31504.0
atun claro en aceite de oliva hacendado,1,3.9,3.9,2021-02-18,22016,18002.0
garbanzo cocido hacendado,1,0.54,0.54,2021-02-18,22016,26029.0
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-10-09,6519926,4740.0
patatas,1,4.79,4.79,2020-10-20,6858326,69166.0
atun claro en aceite de oliva hacendado,1,3.35,3.35,2020-06-18,5857032,18002.0
huevos grandes l,1,1.45,1.45,2020-06-30,911112,31504.0
atun claro en aceite de oliva hacendado,1,4.8,4.8,2022-12-12,13266605,18002.0
huevos grandes l,1,4.25,4.25,2022-12-12,13266605,31504.0
papel higienico doble rollo bosque verde,2,10.0,5.0,2022-12-12,13266605,47818.0
patatas,1,5.49,5.49,2022-12-12,13266605,69166.0
aceite de oliva virgen extra hacendado,1,12.7,12.7,2022-07-10,12804912,4740.0
garbanzo cocido hacendado,1,0.7,0.7,2020-09-18,238052,26029.0
patatas,1,4.79,4.79,2021-09-02,7475015,69166.0
papel higienico doble rollo bosque verde,1,3.95,3.95,2021-11-11,10404138,47818.0
huevos grandes l,2,5.9,2.95,2021-11-11,10404138,31504.0
papel higienico doble rollo bosque verde,1,3.82,3.82,2020-11-07,959862,47818.0
garbanzo cocido hacendado,1,0.7,0.7,2020-11-07,959862,26029.0
atun claro en aceite de oliva hacendado,1,3.99,3.99,2020-11-07,959862,18002.0
patatas,2,9.58,4.79,2021-12-16,10822769,69166.0
aceite de oliva virgen extra hacendado,1,11.0,11.0,2021-12-16,10822769,4740.0
huevos grandes l,2,5.9,2.95,2022-02-22,11422261,31504.0
garbanzo cocido hacendado,1,0.8,0.8,2022-02-22,11422261,26029.0
atun claro en aceite de oliva hacendado,1,4.3,4.3,2022-02-22,11422261,18002.0
papel higienico doble rollo bosque verde,1,4.3,4.3,2022-02-22,11422261,47818.0
patatas,2,9.58,4.79,2022-02-22,11422261,69166.0
huevos grandes l,1,3.95,3.95,2022-07-10,12804912,31504.0
papel higienico doble rollo bosque verde,1,4.75,4.75,2022-07-10,12804912,47818.0
patatas,1,5.49,5.49,2022-07-10,12804912,69166.0
jamon serrano incarlopsa lonchas,1,3.49,3.49,2020-01-10,302316,
queso fresco de cabra hacendado,1,2.2,2.2,2020-01-10,302316,
queso rallado 4 quesos hacendado,1,1.59,1.59,2020-01-10,302316,
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-01-10,302316,51052.0
mozzarella di bufala campana hacendado,1,1.7,1.7,2020-01-10,302316,
refresco coca-cola zero azucar,1,7.56,7.56,2020-01-10,302316,
salchichon extra pimienta hacendado finas lonchas,1,1.38,1.38,2020-01-10,302316,
mortadela italiana hacendado finas lonchas,1,1.69,1.69,2020-01-10,302316,
salfumant bosque verde,1,0.75,0.75,2020-01-10,302316,
dentifrico triple accion colgate con fluor,2,3.5,1.75,2020-01-10,302316,73978.0
lenteja cocida pardina hacendado,2,0.98,0.49,2020-01-10,302316,5330.0
papel multiusos resistente bosque verde,1,2.89,2.89,2020-01-10,302316,
piadinas pan estilo italiano hacendado,1,1.95,1.95,2020-01-10,302316,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,86467.0
gel de bano oliva deliplus piel seca,2,2.7,1.35,2020-01-10,302316,
