product_code,category,subcategory,pr_23,pr_24
4240,"Aceite, especias y salsas","Aceite, vinagre y sal",4.77,9.25
4717,"Aceite, especias y salsas","Aceite, vinagre y sal",16.75,29.55
4740,"Aceite, especias y salsas","Aceite, vinagre y sal",5.63,9.9
4706,"Aceite, especias y salsas","Aceite, vinagre y sal",5.11,8.1
4640,"Aceite, especias y salsas","Aceite, vinagre y sal",4.77,9.25
4711,"Aceite, especias y salsas","Aceite, vinagre y sal",15.18,28.5
4749,"Aceite, especias y salsas","Aceite, vinagre y sal",5.2,9.55
4718,"Aceite, especias y salsas","Aceite, vinagre y sal",2.34,3.3
4850,"Aceite, especias y salsas","Aceite, vinagre y sal",4.68,7.85
4193,"Aceite, especias y salsas","Aceite, vinagre y sal",4.5,4.4
4940,"Aceite, especias y salsas","Aceite, vinagre y sal",0.65,0.75
4957,"Aceite, especias y salsas","Aceite, vinagre y sal",0.82,0.9
4903,"Aceite, especias y salsas","Aceite, vinagre y sal",0.95,1
4908,"Aceite, especias y salsas","Aceite, vinagre y sal",1.8,1.75
13609,"Aceite, especias y salsas","Aceite, vinagre y sal",1.8,2
66905,Bodega,"Vino blanco",2.25,2.35
66905,Bodega,"Vino blanco",2.25,2.35
66905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.35
66905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.35
15843,"Aceite, especias y salsas","Aceite, vinagre y sal",0.95,1
4905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.25
4962,"Aceite, especias y salsas","Aceite, vinagre y sal",2,2.2
7104,"Aceite, especias y salsas","Aceite, vinagre y sal",3.05,3.05
19731,"Aceite, especias y salsas","Aceite, vinagre y sal",0.3,0.35
19715,"Aceite, especias y salsas","Aceite, vinagre y sal",0.5,0.6
19732,"Aceite, especias y salsas","Aceite, vinagre y sal",0.3,0.35
19733,"Aceite, especias y salsas","Aceite, vinagre y sal",0.3,0.35
29007,"Aceite, especias y salsas","Aceite, vinagre y sal",1.5,1.5
29006,"Aceite, especias y salsas","Aceite, vinagre y sal",1.1,1.1
19740,"Aceite, especias y salsas","Aceite, vinagre y sal",1.95,2
19734,"Aceite, especias y salsas","Aceite, vinagre y sal",0.95,0.95
34130,"Aceite, especias y salsas",Especias,1.75,1.8
34130,"Aceite, especias y salsas",Especias,1.75,1.8
34130,"Aceite, especias y salsas","Aceite, vinagre y sal",1.75,1.8
34130,"Aceite, especias y salsas","Aceite, vinagre y sal",1.75,1.8
29016,"Aceite, especias y salsas","Aceite, vinagre y sal",2,2.1
19713,"Aceite, especias y salsas","Aceite, vinagre y sal",2.1,2.3
19726,"Aceite, especias y salsas","Aceite, vinagre y sal",3.3,3.3
19701,"Aceite, especias y salsas","Aceite, vinagre y sal",1.8,1.8
34131,"Aceite, especias y salsas",Especias,1.1,1.2
34128,"Aceite, especias y salsas",Especias,1.25,1.25
34175,"Aceite, especias y salsas",Especias,1.3,1.35
34721,"Aceite, especias y salsas",Especias,1.85,1.85
60873,"Aceite, especias y salsas",Especias,1.3,1.35
34182,"Aceite, especias y salsas",Especias,0.85,0.9
34184,"Aceite, especias y salsas",Especias,0.9,1
34186,"Aceite, especias y salsas",Especias,1.4,1.4
34102,"Aceite, especias y salsas",Especias,1.55,1.75
34116,"Aceite, especias y salsas",Especias,1.75,1.75
34115,"Aceite, especias y salsas",Especias,1.7,1.7
34183,"Aceite, especias y salsas",Especias,1.35,1.35
34171,"Aceite, especias y salsas",Especias,1,1.05
67693,"Aceite, especias y salsas",Especias,1.65,1.65
34172,"Aceite, especias y salsas",Especias,1.45,1.45
67694,"Aceite, especias y salsas",Especias,1.8,1.85
34170,"Aceite, especias y salsas",Especias,2.15,2.15
34208,"Aceite, especias y salsas",Especias,1,1.15
34177,"Aceite, especias y salsas",Especias,0.95,0.95
34120,"Aceite, especias y salsas",Especias,1,1.2
34121,"Aceite, especias y salsas",Especias,1.95,1.95
34125,"Aceite, especias y salsas",Especias,1.15,1.15
34173,"Aceite, especias y salsas",Especias,1.65,1.65
