date,order_num,description,category,subcategory,units,price_eu,price_order,price_now
2020-01-10,302316,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,9.5,9.5,9.9
2019-06-20,208575,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,3.69,3.69,9.9
2022-09-28,470822,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,12.7,12.7,9.9
2021-09-28,209834,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,11,11,9.9
2022-09-11,786946,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,14.7,14.7,9.9
2019-06-19,207666,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,9.97,9.97,9.9
2022-07-13,996926,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,12.7,12.7,9.9
2021-04-16,8135057,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",4,38,9.5,9.9
2021-08-05,8403972,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,9.5,9.5,9.9
2020-10-09,6519926,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,9.5,9.5,9.9
2022-07-10,12804912,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,12.7,12.7,9.9
2021-12-16,10822769,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,11,11,9.9
2023-03-04,13879881,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.34,2.34,3.3
2023-02-04,13640454,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.34,2.34,3.3
2023-01-14,13507140,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.34,2.34,3.3
2023-01-04,13397754,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.34,2.34,3.3
2022-12-21,13315781,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.45,2.45,3.3
2022-11-09,13029815,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",2,4.3,2.15,3.3
2022-10-06,12793662,"Aceite de oliva virgen extra Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,2.15,2.15,3.3
2021-12-16,10822769,"Limón exprimido Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,3.59,3.59,1
2022-02-22,11422261,"Limón exprimido Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,3.59,3.59,1
2023-02-04,13640454,"Sal fina Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,0.3,0.3,0.35
2022-12-07,13220829,"Bicarbonato sódico Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal",1,1,1,1.1
2023-03-04,13879881,"Hierbas provenzales Hacendado","Aceite, especias y salsas",Especias,1,1.1,1.1,1.2
2019-06-20,208575,"Pimentón dulce de la Vera Hacendado","Aceite, especias y salsas",Especias,1,0.9,0.9,1.75
2023-02-25,13821013,"Pimentón picante Hacendado","Aceite, especias y salsas",Especias,1,1.35,1.35,1.35
2022-12-07,13220829,"Canela molida Hacendado","Aceite, especias y salsas",Especias,1,0.85,0.85,0.95
2022-12-07,13220829,"Cúrcuma Hacendado","Aceite, especias y salsas",Especias,1,1.25,1.25,1.25
2022-12-07,13220829,"Jengibre molido Hacendado","Aceite, especias y salsas",Especias,1,1.4,1.4,1.65
