year_pr,product_code,pr
2022,69912,0.20108333333333336
2022,3238,0.25
2022,5504,0.25
2022,3824,0.2599603174603174
2023,3824,0.2640277777777778
2023,69912,0.26611111111111113
2023,19731,0.3
2022,27213,0.31
2020,3132,0.3284166666666667
2022,69320,0.33
2019,3132,0.3327222222222222
2022,3175,0.385
2019,15592,0.44
2018,15592,0.44
2018,3132,0.455
2020,5330,0.49
2018,5124,0.5449999999999999
2021,5330,0.55
2021,39191,0.58
2019,5325,0.59
2020,5325,0.59
2018,5325,0.59
2018,8050,0.6
2021,26029,0.605
2018,26029,0.62
2019,16022,0.62
2021,5251,0.64
2020,26029,0.6771428571428572
2018,43347,0.68
2020,5251,0.69
2018,6305,0.69
2022,3132,0.693
2019,26029,0.7
2019,23628,0.7
2022,39191,0.7
2022,5251,0.71
2022,6363,0.74
2019,6277,0.75
2022,46416,0.75
2023,6244,0.76
2019,20210,0.77
2022,26029,0.7825
2019,20221,0.79
2021,51050,0.8
2022,49224,0.8
2020,47609,0.8
2023,49402,0.8
2022,49402,0.8
2019,51050,0.8000000000000002
2021,6277,0.815
2022,69523,0.8374999999999999
2022,68172,0.85
2018,14158,0.85
2020,34143,0.85
2021,46882,0.85
2023,69523,0.85
2022,34181,0.85
2022,34177,0.85
2022,1811,0.85
2019,34102,0.9
2021,68187,0.9
2021,6260,0.9
2022,10688,0.9
2023,69310,0.9279999999999999
2022,69310,0.9433333333333334
2019,79407,0.95
2020,79407,0.95
2018,79407,0.95
2021,12562,0.95
2023,82328,0.9500000000000001
2022,82328,0.9500000000000001
2023,69239,0.955
2023,13568,0.96
2022,10731,0.9650000000000001
2023,10731,0.9699999999999999
2020,68187,0.98
2018,49544,0.99
2018,51111,0.99
2021,69810,0.99
2019,51239,1
2021,43218,1
2021,51239,1
2021,39032,1
2020,39032,1
2020,71044,1
2020,21317,1
2020,18613,1
2022,13568,1
2022,29006,1
2019,47609,1.05
2018,11714,1.05
2019,43320,1.05
2022,5005,1.05
2021,68274,1.05
2022,68274,1.05
2023,39010,1.05
2022,79427,1.05
2023,35221,1.06
2018,6175,1.09
2020,86467,1.1
2020,49073,1.1
2021,22605,1.1
2023,34131,1.1
2022,16858,1.1
2022,35221,1.1
2019,43218,1.15
2022,43218,1.15
2020,83560,1.15
2023,17346,1.15
2022,69590,1.15
2022,9457,1.15
2022,22905,1.15
2021,20558,1.16
2020,15939,1.19
2021,15939,1.19
2019,69622,1.2
2022,83560,1.2
2021,43474,1.2
2020,43042,1.2
2022,16519,1.2
2022,6277,1.2
2021,74081,1.2
2021,52149,1.2
2023,17283,1.2
2023,17169,1.2
2022,17283,1.2
2022,80858,1.2
2022,6331,1.2
2023,69275,1.21
2022,15939,1.225
2023,6331,1.24
2020,13810,1.25
2020,18225,1.25
2023,23410,1.25
2023,83886,1.25
2022,69690,1.25
2022,34163,1.25
2022,17366,1.25
2022,83886,1.25
2022,43223,1.25
2019,49544,1.3
2022,17409,1.3
2023,72537,1.3
2023,5063,1.3
2023,43935,1.3
2020,10320,1.32
2018,10320,1.32
2019,10320,1.32
2021,10320,1.32
2023,17366,1.325
2020,35049,1.34
2022,86559,1.35
2021,18225,1.35
2020,46859,1.35
2020,60236,1.35
2020,49750,1.35
2023,34183,1.35
2022,22605,1.3666666666666665
2019,59090,1.39
2018,35049,1.39
2018,59090,1.39
2021,73978,1.3999999999999997
2018,50008,1.4
2020,20248,1.4
2021,67634,1.4
2023,49544,1.4
2022,23926,1.4
2022,34149,1.4
2019,35049,1.41
2018,20558,1.44
2019,31504,1.45
2018,31504,1.45
2019,44110,1.45
2020,83558,1.45
2023,80862,1.45
2023,23926,1.45
2023,80892,1.45
2022,80862,1.45
2022,61358,1.45
2022,0,1.465
2019,69990,1.49
2019,86593,1.5
2021,46704,1.5
2018,86593,1.5
2020,18602,1.5
2022,60869,1.5
2023,14241,1.5
2023,37408,1.5
2022,14241,1.5
2022,17174,1.5
2022,44127,1.5166666666666668
2022,47291,1.525
