description,units,price_eu,unit_price,date,order_num
Jamón serrano Incarlopsa lonchas,1,3.49,3.49,2020-01-10,302316
Queso fresco de cabra Hacendado,1,2.2,2.2,2020-01-10,302316
Queso rallado 4 quesos Hacendado,1,1.59,1.59,2020-01-10,302316
Perlas de mozzarella fresca Hacendado,1,1.7,1.7,2020-01-10,302316
Mozzarella di bufala campana Hacendado,1,1.7,1.7,2020-01-10,302316
Refresco Coca-Cola Zero azúcar,1,7.56,7.56,2020-01-10,302316
Salchichón extra pimienta Hacendado finas lonchas,1,1.38,1.38,2020-01-10,302316
Mortadela italiana Hacendado finas lonchas,1,1.69,1.69,2020-01-10,302316
Salfumant Bosque Verde,1,0.75,0.75,2020-01-10,302316
Dentífrico triple acción Colgate con flúor,2,3.5,1.75,2020-01-10,302316
Aceite de oliva virgen extra Hacendado,1,9.5,9.5,2020-01-10,302316
Lenteja cocida pardina Hacendado,2,0.98,0.49,2020-01-10,302316
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2020-01-10,302316
Piadinas pan estilo italiano Hacendado,1,1.95,1.95,2020-01-10,302316
Pan de molde espelta 100% integral Hacendado,1,1.1,1.1,2020-01-10,302316
Gel de baño oliva Deliplus piel seca,2,2.7,1.35,2020-01-10,302316
Gelatina 0% azúcar sabor fresa Hacendado,1,0.98,0.98,2020-01-10,302316
Tomates cherry,1,1.49,1.49,2020-01-10,302316
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-01-10,302316
Quinoa cocida blanca y roja Hacendado,1,1.35,1.35,2020-01-10,302316
Yogur cremoso Hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316
Tomate frito receta artesana Hacendado,1,1.7,1.7,2020-01-10,302316
Papel higiénico doble rollo Bosque Verde,2,7.64,3.82,2020-01-10,302316
Atún claro en aceite de oliva Hacendado,2,7.98,3.99,2020-01-10,302316
Queso untar light blanco pasteurizado Philadelphia,1,2.1,2.1,2020-01-10,302316
Garbanzo cocido Hacendado,2,1.4,0.7,2020-01-10,302316
Hogaza 100% natural,1,1.0,1.0,2020-01-10,302316
Agua mineral Cortes,2,1.46,0.73,2020-01-10,302316
Leche desnatada Pascual,2,10.68,5.34,2020-01-10,302316
Dentífrico original Binaca,2,3.0,1.5,2020-01-10,302316
Morcilla oreada d' Ontinyent,1,1.34,1.34,2020-01-10,302316
Chorizo oreado,1,2.03,2.03,2020-01-10,302316
Aguacates,1,2.3,2.3,2020-01-10,302316
Caldo de pollo Hacendado,1,1.64,1.64,2019-02-27,125935
Servilleta papel Bosque Verde,1,0.92,0.92,2019-02-27,125935
Longaniza de payés Hacendado lonchas,1,1.45,1.45,2019-02-27,125935
Huevos grandes L,1,1.45,1.45,2019-02-27,125935
Discos desmaquillantes Deliplus redondos,1,0.95,0.95,2019-02-27,125935
Lechuga iceberg base para ensalada,1,0.87,0.87,2019-02-27,125935
Cebolla amarilla,1,1.89,1.89,2019-02-27,125935
Ajo morado,1,1.2,1.2,2019-02-27,125935
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2019-02-27,125935
Desodorante roll-on dermo extra control Sanex,1,1.8,1.8,2019-02-27,125935
Taquitos de chorizo Revilla,1,2.1,2.1,2019-02-27,125935
Espárragos muy gruesos Hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935
Compresa con alas normal Evax cotton like,1,3.95,3.95,2019-02-27,125935
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2019-02-27,125935
Mini taquitos de jamón Incarlopsa,1,1.95,1.95,2019-02-27,125935
Agua mineral Cortes,1,0.73,0.73,2019-02-27,125935
Fusilli Armando,1,0.95,0.95,2019-02-27,125935
Queso untar light blanco pasteurizado Philadelphia,1,2.1,2.1,2019-02-27,125935
Galletas cookies Hacendado,1,1.25,1.25,2019-02-27,125935
Tomate cherry,1,1.49,1.49,2019-02-27,125935
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2019-02-27,125935
Patata,1,3.5,3.5,2019-02-27,125935
"Champú agua de coco Fructis raíces grasas, puntas secas",1,2.95,2.95,2019-02-27,125935
Arroz redondo La Fallera,1,1.35,1.35,2019-02-27,125935
Plátano,6,2.2,0.3666666666666667,2019-02-27,125935
Gel de baño oliva Deliplus piel seca,1,1.35,1.35,2019-02-27,125935
Dentífrico original Binaca,1,1.5,1.5,2019-02-27,125935
Caldo de verduras Hacendado,1,1.0,1.0,2019-02-27,125935
Pechuga de pavo Hacendado finas lonchas,1,2.95,2.95,2019-02-27,125935
Jamón serrano Incarlopsa lonchas extrafinas,1,1.99,1.99,2019-02-27,125935
Maíz dulce Hacendado,1,0.95,0.95,2019-02-27,125935
Tomate frito receta artesana Hacendado,1,1.7,1.7,2019-02-27,125935
Queso rallado Hacendado especial fundir,1,1.0,1.0,2019-02-27,125935
Hogaza 100% natural,1,1.0,1.0,2019-02-27,125935
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2019-02-27,125935
Chocolate con leche Lindt,1,1.15,1.15,2019-02-27,125935
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2019-02-27,125935
Café en cápsula ristretto L'Or Espresso,3,9.87,3.2899999999999996,2019-02-27,125935
Chocolate con leche Milka,1,1.01,1.01,2019-02-27,125935
Lenteja cocida Hacendado,2,1.18,0.59,2019-02-27,125935
Garbanzo cocido Hacendado,1,0.7,0.7,2019-02-27,125935
Leche desnatada Pascual,2,10.68,5.34,2019-02-27,125935
Pan de molde con avena Hacendado,1,1.25,1.25,2019-02-27,125935
Dentífrico max white one Colgate,2,5.4,2.7,2019-02-27,125935
Queso curado Entrepinares,1,2.66,2.66,2019-02-27,125935
Queso havarti light Hacendado lonchas,1,2.56,2.56,2019-02-27,125935
Chorizo oreado,1,1.87,1.87,2019-02-27,125935
Morcilla oreada d' Ontinyent,1,1.48,1.48,2019-02-27,125935
Aguacate,1,2.15,2.15,2019-02-27,125935
Longaniza fresca d' Ontinyent,1,3.06,3.06,2019-02-27,125935
Lomo embuchado Hacendado lonchas,1,1.71,1.71,2019-02-27,125935
Nuez moscada molida Hacendado,1,1.1,1.1,2019-02-27,125935
Placas para lasaña precocidas El Pavo,1,1.25,1.25,2019-02-27,125935
Placas para canelones Del Castillo,1,0.58,0.58,2019-02-27,125935
Pañuelos de papel extra suaves Bosque Verde,1,1.05,1.05,2019-02-27,125935
Spaghetti al huevo Hacendado,1,0.99,0.99,2019-02-27,125935
Agua mineral Bronchales grande,1,2.46,2.46,2019-02-27,125935
Berenjena,3,1.4,0.4666666666666666,2019-02-27,125935
Mozzarella fresca Hacendado,2,1.6,0.8,2019-02-27,125935
Pizza ibérica Hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935
Pizza mozzarella y pesto Hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935
Espárrago verde entero Jv ultracongelado,1,2.6,2.6,2019-02-27,125935
Yogur natural edulcorado Hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-02-27,125935
Verdura floretas de brócoli para micro,1,1.2,1.2,2019-02-27,125935
Pizza masa fina jamón Hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935
Anguriñas Pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935
Aceitunas manzanilla rellenas de anchoa Hacendado,1,2.15,2.15,2019-02-27,125935
Salchichón extra Hacendado lonchas,1,1.39,1.39,2019-02-27,125935
Aceitunas negras cacereñas Hacendado a rodajas,1,1.5,1.5,2019-02-27,125935
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2019-02-27,125935
Patatas,1,3.85,3.85,2020-10-22,404271
Berenjena,3,2.08,0.6933333333333334,2020-10-22,404271
Brócoli,1,0.99,0.99,2020-10-22,404271
Zanahorias,1,0.69,0.69,2020-10-22,404271
Caldo de verduras Hacendado,1,1.0,1.0,2020-10-22,404271
Pan de molde 100% integral familiar Hacendado,1,0.95,0.95,2020-10-22,404271
Corazones de alcachofa Hacendado,1,2.3,2.3,2020-10-22,404271
Huevos grandes L,1,1.45,1.45,2020-10-22,404271
Plátano,6,1.94,0.3233333333333333,2020-10-22,404271
Sal lavavajillas Bosque Verde en grano,1,1.04,1.04,2020-10-22,404271
Champú anticaspa H&S cabello graso,1,2.99,2.99,2020-10-22,404271
Servilleta papel Bosque Verde,1,0.9,0.9,2020-10-22,404271
Calabacín verde,3,1.36,0.45333333333333337,2020-10-22,404271
Espárrago verde grueso,1,2.99,2.99,2020-10-22,404271
Dentífrico max white one Colgate,1,2.7,2.7,2020-10-22,404271
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2020-10-22,404271
Lavavajillas todo en 1 Fairy en pastillas,1,4.5,4.5,2020-10-22,404271
Jamón serrano Incarlopsa lonchas,1,3.49,3.49,2020-10-22,404271
Queso fresco de cabra Hacendado,1,2.2,2.2,2020-10-22,404271
Queso rallado 4 quesos Hacendado,1,1.59,1.59,2020-10-22,404271
Perlas de mozzarella fresca Hacendado,1,1.7,1.7,2020-10-22,404271
Mozzarella di bufala campana Hacendado,1,1.7,1.7,2020-10-22,404271
Salchichón extra pimienta Hacendado finas lonchas,1,1.38,1.38,2020-10-22,404271
Mortadela italiana Hacendado finas lonchas,1,1.69,1.69,2020-10-22,404271
Dentífrico triple acción Colgate con flúor,2,3.5,1.75,2020-10-22,404271
Lenteja cocida pardina Hacendado,2,0.98,0.49,2020-10-22,404271
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2020-10-22,404271
Pan de molde espelta 100% integral Hacendado,1,1.1,1.1,2020-10-22,404271
Gel de baño oliva Deliplus piel seca,2,2.7,1.35,2020-10-22,404271
Gelatina 0% azúcar sabor fresa Hacendado,1,0.98,0.98,2020-10-22,404271
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-10-22,404271
Quinoa cocida blanca y roja Hacendado,1,1.35,1.35,2020-10-22,404271
Yogur cremoso Hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271
Papel higiénico doble rollo Bosque Verde,1,3.82,3.82,2020-10-22,404271
Hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635
Dentífrico blanqueador sensation Colgate,2,4.1,2.05,2020-10-01,466635
Champú repara & protege Pantene cabello débil y dañado,2,5.98,2.99,2020-10-01,466635
Jamón cocido extra Hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635
Lenteja cocida Hacendado,2,1.18,0.59,2020-10-01,466635
Nata ligera para cocinar Hacendado,1,1.32,1.32,2020-10-01,466635
