description,units,price_eu,unit_price,date,order_num
Tomate pera,2,0.6,0.3,2023-03-18,13996475
Hummus de garbanzos Hacendado con pimiento del piquillo asado,1,1.45,1.45,2023-03-18,13996475
Acondicionador Repara & Protege Pantene,1,3.8,3.8,2023-03-18,13996475
Palitos de zanahoria,1,1.78,1.78,2023-03-18,13996475
Fajitas pollo y verduras,3,11.97,3.99,2023-03-18,13996475
Detergente ropa All in 1 Ariel Pods en cápsulas,1,8.8,8.8,2023-03-18,13996475
Arándanos,1,2.78,2.78,2023-03-18,13996475
Barquillos con crema de avellanas Hacendado,1,1.5,1.5,2023-03-18,13996475
Pudding +Proteínas caramelo Hacendado 12 g proteínas,1,1.95,1.95,2023-03-18,13996475
Espárrago verde grueso,1,3.26,3.26,2023-03-18,13996475
Banana,3,0.75,0.25,2023-03-18,13996475
Huevos grandes L,3,12.15,4.05,2023-03-18,13996475
Aguacates,1,2.41,2.41,2023-03-18,13996475
"Salsa de tomate, albahaca y orégano Hacendado",1,1.2,1.2,2023-03-11,13945376
Tomate pera,2,0.6,0.3,2023-03-11,13945376
Atún en aceite de girasol Hacendado,2,13.6,6.8,2023-03-11,13945376
Café molido natural Hacendado,1,3.2,3.2,2023-03-11,13945376
Café molido natural Hacendado,1,3.2,3.2,2023-03-11,13945376
Hummus de garbanzos Hacendado con pimiento del piquillo asado,1,1.45,1.45,2023-03-11,13945376
Chili con carne Hacendado,1,2.6,2.6,2023-03-11,13945376
Acondicionador Repara & Protege Pantene,1,3.8,3.8,2023-03-11,13945376
Palitos de zanahoria,1,1.78,1.78,2023-03-11,13945376
Fajitas pollo y verduras,2,7.98,3.99,2023-03-11,13945376
Detergente ropa All in 1 Ariel Pods en cápsulas,1,8.8,8.8,2023-03-11,13945376
Champú Anticaída Deliplus,1,1.95,1.95,2023-03-11,13945376
Arándanos,1,2.78,2.78,2023-03-11,13945376
Refresco Coca-Cola Zero Zero,1,9.12,9.12,2023-03-11,13945376
Barquillos con crema de avellanas Hacendado,1,1.5,1.5,2023-03-11,13945376
Pudding +Proteínas caramelo Hacendado 12 g proteínas,1,1.95,1.95,2023-03-11,13945376
Espárrago verde grueso,1,3.26,3.26,2023-03-11,13945376
Banana,3,0.79,0.2633333333333333,2023-03-11,13945376
Huevos grandes L,1,4.05,4.05,2023-03-11,13945376
Aguacates,1,3.08,3.08,2023-03-11,13945376
Chili con carne Hacendado,1,2.6,2.6,2023-03-04,13879881
