description,units,price_eu,unit_price,date,order_num
Detergente ropa prendas delicadas Bosque Verde líquido,1,1.69,1.69,2020-10-12,7119732
Raclette queso Entremont lonchas,1,3.85,3.85,2020-10-12,7119732
Refresco Coca-Cola,1,6.96,6.96,2020-10-12,7119732
Queso blando blanco y azul Bergader petit blu,1,1.85,1.85,2020-10-12,7119732
Queso brie con trufa Castello,1,2.1,2.1,2020-10-12,7119732
Garrofón Hacendado ultracongelado,1,0.95,0.95,2020-10-12,7119732
Alubia cocida granja Hacendado,1,1.15,1.15,2020-10-12,7119732
Acelgas,1,1.8,1.8,2020-10-12,7119732
Espinacas en porciones Hacendado ultracongelada,1,1.19,1.19,2020-10-12,7119732
Toallitas faciales limpiadoras purificantes Deliplus pieles grasas,1,1.95,1.95,2020-10-12,7119732
Loción facial limpiadora Deliplus pieles grasas,1,3.95,3.95,2020-10-12,7119732
Spaghetti al huevo Hacendado,1,0.99,0.99,2020-10-12,7119732
Toallitas desmaquillantes Micelar & Oil Deliplus para todo tipo de pieles,1,1.35,1.35,2020-10-12,7119732
Discos desmaquillantes Deliplus redondos algodón 100%,1,0.95,0.95,2020-10-12,7119732
Pinzas de plástico Bosque Verde gigantes,1,1.25,1.25,2020-10-12,7119732
Encendedor cocina largo Clipper,1,2.57,2.57,2020-10-12,7119732
Bolsas zip congelación medianas Bosque Verde,1,1.1,1.1,2020-10-12,7119732
Garbanzo Hacendado,1,2.15,2.15,2020-10-12,7119732
Fondue savoyarde 3 quesos Entremont,2,6.7,3.35,2020-10-12,7119732
Zanahorias,1,0.69,0.69,2020-10-12,7119732
Patata para micro,1,1.2,1.2,2020-10-12,7119732
Jamón serrano Incarlopsa lonchas extrafinas,2,4.38,2.19,2020-10-12,7119732
Galletas Choco negro con chocolatina Hacendado,1,1.0,1.0,2020-10-12,7119732
11 Panecillos,1,1.0,1.0,2020-10-12,7119732
"Panecillo de ajo 1,2%",4,0.88,0.22,2020-10-12,7119732
Panecillo de trigo integral 30%,2,0.38,0.19,2020-10-12,7119732
Huevos grandes L,2,5.2,2.6,2020-10-12,7119732
Longaniza de Pascua Hacendado,1,3.0,3.0,2020-10-12,7119732
