description,units,price_eu,unit_price,date,order_num
Friegasuelos pino Bosque Verde líquido,4,2.72,0.68,2020-09-16,6598904
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2020-09-16,6598904
Papel higiénico doble rollo Bosque Verde,3,11.46,3.8200000000000003,2020-09-16,6598904
Lavavajillas aloe Bosque Verde concentrado,4,6.2,1.55,2020-09-16,6598904
Suavizante ropa talco Bosque Verde concentrado,2,3.58,1.79,2020-09-16,6598904
Detergente ropa jabón natural de Marsella Bosque Verde líquido,1,4.2,4.2,2020-09-16,6598904
Mermelada de fresa Hacendado,1,1.05,1.05,2020-09-16,6598904
Margarina Hacendado,1,0.8,0.8,2020-09-16,6598904
Flan de vainilla con caramelo Hacendado,1,0.7,0.7,2020-09-16,6598904
Anacardo natural Hacendado,1,2.09,2.09,2020-09-16,6598904
Cacahuete frito Hacendado,1,0.85,0.85,2020-09-16,6598904
Salsa de soja Hacendado,1,1.35,1.35,2020-09-16,6598904
Maíz dulce Hacendado,1,0.95,0.95,2020-09-16,6598904
Noodles de arroz Acecook,1,1.25,1.25,2020-09-16,6598904
Nidos vegetales Hacendado,1,1.15,1.15,2020-09-16,6598904
Café molido mezcla fuerte Hacendado,1,4.45,4.45,2020-09-16,6598904
Garbanzo cocido Hacendado,2,1.08,0.54,2020-09-16,6598904
Queso fundido sándwich Hacendado lonchas,1,1.0,1.0,2020-09-16,6598904
Barra de pan tradicional,1,1.15,1.15,2020-09-16,6598904
Huevos grandes L,1,1.45,1.45,2020-09-16,6598904
Azúcar moreno de caña Acor,1,1.78,1.78,2020-09-16,6598904
Secreto de cerdo,1,3.49,3.49,2020-09-16,6598904
Escalopines de salmón sin espinas,1,7.97,7.97,2020-09-16,6598904
Queso grana padano Zanetti,1,3.54,3.54,2020-09-16,6598904
Povidona yodada Deliplus,1,1.6,1.6,2021-06-30,8994847
Jabón de manos lavanda Deliplus pastilla,1,0.85,0.85,2021-06-30,8994847
Gel de baño frutal Deliplus piel normal,1,0.9,0.9,2021-06-30,8994847
Perejil Hacendado,1,0.69,0.69,2021-06-30,8994847
Encendedor cocina largo Clipper,1,2.57,2.57,2021-06-30,8994847
Suavizante ropa Spa Bosque Verde concentrado,2,3.5,1.75,2021-06-30,8994847
Detergente Lavado a Mano Bosque Verde líquido,1,1.89,1.89,2021-06-30,8994847
Gamuzas atrapa polvo Bosque Verde,2,3.9,1.95,2021-06-30,8994847
Lejía con detergente Bosque Verde,1,0.71,0.71,2021-06-30,8994847
Colgador WC Azul perfume marino Bosque Verde,1,1.2,1.2,2021-06-30,8994847
Azúcar moreno de caña Acor,1,1.65,1.65,2021-06-30,8994847
Bolsa de basura Bosque Verde 30L cubo mediano,2,2.7,1.35,2021-06-30,8994847
Detergente ropa jabón natural de Marsella Bosque Verde líquido,1,4.2,4.2,2021-06-30,8994847
Papel Multiusos Resistente Bosque Verde,2,5.4,2.7,2021-06-30,8994847
Lavavajillas aloe Bosque Verde concentrado,2,3.1,1.55,2021-06-30,8994847
Friegasuelos Pino Bosque Verde líquido,2,1.3,0.65,2021-06-30,8994847
Estropajo suciedad resistente Bosque Verde,2,1.8,0.9,2021-06-30,8994847
Papel higiénico Doble Rollo Bosque Verde,4,15.28,3.82,2021-06-30,8994847
Escobilla para WC Bosque Verde,1,3.0,3.0,2022-03-09,12549682
Quitagrasas KH-7,1,3.4,3.4,2022-03-09,12549682
Suavizante ropa Spa Bosque Verde concentrado,2,3.8,1.9,2022-03-09,12549682
Limpia lavadoras Bosque Verde líquido,1,2.0,2.0,2022-03-09,12549682
Papel vegetal Bosque Verde,3,5.1,1.7,2022-03-09,12549682
Gel de baño frutal Deliplus piel normal,2,2.0,1.0,2022-03-09,12549682
Suavizante ropa Floral Bosque Verde concentrado,2,3.8,1.9,2022-03-09,12549682
Estropajo suciedad resistente Bosque Verde,3,2.55,0.85,2022-03-09,12549682
Sal fina Hacendado,1,0.25,0.25,2022-03-09,12549682
Papel Multiusos Resistente Bosque Verde,2,6.5,3.25,2022-03-09,12549682
Recambio antihumedad con aromas cítricos Bosque Verde,1,2.0,2.0,2022-03-09,12549682
Estropajo acero inoxidable Bosque Verde,1,0.7,0.7,2022-03-09,12549682
Fregona Resistente y Absorbente Bosque Verde,1,1.85,1.85,2022-03-09,12549682
Friegasuelos Pino Bosque Verde líquido,4,3.8,0.95,2022-03-09,12549682
Activador del lavado ropa blanca Oxi Active Bosque Verde en gel,2,3.4,1.7,2022-03-09,12549682
Toallitas limpiadoras de suelo Bosque Verde,1,1.6,1.6,2022-03-09,12549682
Bolsa de basura Bosque Verde 30L cubo mediano,5,8.5,1.7,2022-03-09,12549682
Detergente ropa jabón natural de Marsella Bosque Verde líquido,4,14.0,3.5,2022-03-09,12549682
Limpiador Baños Bosque Verde en gel,1,1.3,1.3,2021-10-14,10076002
Gamuzas atrapa polvo Bosque Verde,1,1.95,1.95,2021-10-14,10076002
Escoba Bosque Verde,1,1.0,1.0,2021-10-14,10076002
