product,unidades,product_code
"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,4241.0
"Aceite de oliva 0,4º Hacendado",Botella 1 L,4240.0
Aceite de oliva virgen extra Hacendado,Garrafa 3 L,4717.0
Aceite de oliva virgen extra Hacendado,Botella 1 L,4740.0
Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,4706.0
Aceite de oliva 1º Hacendado,Garrafa 5 L,4641.0
Aceite de oliva 1º Hacendado,Botella 1 L,4640.0
Aceite de oliva virgen Hacendado,Garrafa 3 L,4711.0
Aceite de oliva virgen Hacendado,Botella 1 L,4749.0
Aceite de oliva virgen extra Hacendado,Spray 200 ml,4718.0
Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,4850.0
"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,4047.0
"Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,4046.0
Aceite de coco virgen Hacendado,Bote 450 ml,4193.0
Vinagre de vino blanco Hacendado,Botella 1 L,4940.0
Vinagre balsámico de Módena Hacendado,Botella 250 ml,4954.0
Vinagre de manzana Hacendado,Botella 1 L,4957.0
Limón exprimido Hacendado,Botella 280 ml,4903.0
Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,4908.0
Vinagre de Jerez reserva Hacendado,Botella 250 ml,13609.0
Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,66905.0
Vinagre de vino tinto Hacendado,Botella 1 L,15843.0
Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,4905.0
"Aceite de oliva, vinagre y sal Merry 5 monodosis 10 ml aceite de oliva virgen extra, 5 monodosis 10 ml vinagre de jerez y 5 monodosis 1 gr sal",15 monodosis x 10 ml ,4962.0
Crema de vinagre balsámico de manzana Hacendado,Botella 250 g,4965.0
Aliño viandox Knorr,Botella 160 ml,7104.0
Sal fina Hacendado,Paquete 1 kg,19731.0
Sal fina de mesa Hacendado,Bote 250 g,19715.0
Sal yodada fina Hacendado,Paquete 1 kg,19732.0
Sal gruesa Hacendado,Paquete 1 kg,19733.0
Bicarbonato sódico Hacendado,Paquete 1 kg,29007.0
Bicarbonato sódico Hacendado,Bote 300 g,29006.0
Sal marina en escamas Polasal,Bote 125 g,19740.0
Sal gruesa para hornear Hacendado,Paquete 2 kg,19734.0
Sal de ajo Hacendado,Bote 130 g,34130.0
Sal de frutas sabor limón Hacendado,Bote 250 g,29016.0
Sal 60% menos de sodio Hacendado,Bote 250 g,19713.0
Preparado para salmón ahumado Hacendado,Bote 750 g,19726.0
Sal rosa del Himalaya Hacendado,Bote 250 g,19701.0
Orégano Hacendado,Bote 18 g,34180.0
Perejil Hacendado,Bote 14 g,22843.0
Hoja de laurel Hacendado,Paquete 12 g,19431.0
Hierbas provenzales Hacendado,Bote 25 g,34131.0
Albahaca Hacendado,Bote 20 g,34128.0
Romero Hacendado,Bote 40 g,34175.0
Tomillo Hacendado,Bote 28 g,34174.0
Eneldo hojas Hacendado,Bote 22 g,34136.0
Cilantro Hacendado,Bote 12 g,34721.0
Ajo y Perejil Hacendado,Bote 74 g,60873.0
Colorante alimentario Hacendado,Bote 85 g,34182.0
Pimentón dulce Hacendado,Bote 56 g,34184.0
Pimentón dulce Hacendado,Bote 75 g,34186.0
Pimentón dulce de la Vera Hacendado,Bote 75 g,34102.0
Azafrán molido Hacendado,"Paquete 4 sobres (0,4 g)",34116.0
Azafrán hebra Hacendado,"Paquete 3 usos (0,38 g)",34115.0
Pimentón picante Hacendado,Bote 60 g,34183.0
Pimienta negra molida Hacendado,Bote 70 g,34171.0
Molinillo pimienta negra Hacendado,Bote 65 g,67693.0
Pimienta negra en grano Hacendado,Bote 70 g,34172.0
Molinillo mix pimientas Hacendado,Bote 50 g,67694.0
Pimienta blanca molida Hacendado,Bote 70 g,34170.0
Ajo granulado Hacendado,Bote 85 g,34181.0
Cebolla frita crujiente Hacendado,Bote 150 g,34208.0
Canela molida Hacendado,Bote 52 g,34177.0
Canela en rama Hacendado,Bote 18 g,34176.0
