product_code,price_eu,collected_timestamp
4240.0,9.25,2024-03-13
4717.0,29.55,2024-03-13
4740.0,9.9,2024-03-13
4706.0,8.1,2024-03-13
4640.0,9.25,2024-03-13
4711.0,28.5,2024-03-13
4749.0,9.55,2024-03-13
4204.0,27.6,2024-03-13
4609.0,27.6,2024-03-13
4718.0,3.3,2024-03-13
4850.0,7.85,2024-03-13
4041.0,6.95,2024-03-13
4040.0,1.45,2024-03-13
4193.0,4.4,2024-03-13
4940.0,0.75,2024-03-13
4957.0,0.9,2024-03-13
4903.0,1.0,2024-03-13
4908.0,1.75,2024-03-13
13609.0,2.0,2024-03-13
66905.0,2.35,2024-03-13
15843.0,1.0,2024-03-13
4905.0,2.25,2024-03-13
4962.0,2.2,2024-03-13
7104.0,3.05,2024-03-13
26496.0,2.5,2024-03-13
26497.0,1.7,2024-03-13
19731.0,0.35,2024-03-13
19715.0,0.6,2024-03-13
19732.0,0.35,2024-03-13
19733.0,0.35,2024-03-13
29007.0,1.5,2024-03-13
29006.0,1.1,2024-03-13
19740.0,2.0,2024-03-13
19734.0,0.95,2024-03-13
34130.0,1.8,2024-03-13
29016.0,2.1,2024-03-13
19713.0,2.3,2024-03-13
19726.0,3.3,2024-03-13
19701.0,1.8,2024-03-13
5598.0,0.95,2024-03-13
5599.0,0.95,2024-03-13
47994.0,0.8,2024-03-13
34131.0,1.2,2024-03-13
34128.0,1.25,2024-03-13
34175.0,1.35,2024-03-13
5547.0,1.05,2024-03-13
52739.0,1.85,2024-03-13
34721.0,1.85,2024-03-13
60873.0,1.35,2024-03-13
34182.0,0.9,2024-03-13
34184.0,1.0,2024-03-13
34186.0,1.4,2024-03-13
34102.0,1.75,2024-03-13
34116.0,1.75,2024-03-13
34115.0,1.7,2024-03-13
34183.0,1.35,2024-03-13
34171.0,1.05,2024-03-13
67693.0,1.65,2024-03-13
34172.0,1.45,2024-03-13
67694.0,1.85,2024-03-13
34170.0,2.15,2024-03-13
86656.0,1.15,2024-03-13
34208.0,1.15,2024-03-13
34177.0,0.95,2024-03-13
52880.0,1.45,2024-03-13
34120.0,1.2,2024-03-13
34121.0,1.95,2024-03-13
34125.0,1.15,2024-03-13
34173.0,1.65,2024-03-13
34138.0,0.96,2024-03-13
34178.0,1.3,2024-03-13
