description,product_code,category,subcategory,pr_23,pr_24
"Aceite de oliva 0,4º Hacendado",4240,"Aceite, especias y salsas","Aceite, vinagre y sal",4.77,9.25
"Aceite de oliva virgen extra Hacendado",4717,"Aceite, especias y salsas","Aceite, vinagre y sal",16.75,29.55
"Aceite de oliva virgen extra Hacendado",4740,"Aceite, especias y salsas","Aceite, vinagre y sal",5.63,9.9
"Aceite de oliva virgen extra Hacendado Gran Selección",4706,"Aceite, especias y salsas","Aceite, vinagre y sal",5.11,8.1
"Aceite de oliva 1º Hacendado",4640,"Aceite, especias y salsas","Aceite, vinagre y sal",4.77,9.25
"Aceite de oliva virgen Hacendado",4711,"Aceite, especias y salsas","Aceite, vinagre y sal",15.18,28.5
"Aceite de oliva virgen Hacendado",4749,"Aceite, especias y salsas","Aceite, vinagre y sal",5.2,9.55
"Aceite de oliva virgen extra Hacendado",4718,"Aceite, especias y salsas","Aceite, vinagre y sal",2.34,3.3
"Aceite de oliva virgen extra Picual Casa Juncal",4850,"Aceite, especias y salsas","Aceite, vinagre y sal",4.68,7.85
"Aceite de coco virgen Hacendado",4193,"Aceite, especias y salsas","Aceite, vinagre y sal",4.5,4.4
"Vinagre de vino blanco Hacendado",4940,"Aceite, especias y salsas","Aceite, vinagre y sal",0.65,0.75
"Vinagre de manzana Hacendado",4957,"Aceite, especias y salsas","Aceite, vinagre y sal",0.82,0.9
"Limón exprimido Hacendado",4903,"Aceite, especias y salsas","Aceite, vinagre y sal",0.95,1
"Crema de vinagre balsámico de Módena Hacendado",4908,"Aceite, especias y salsas","Aceite, vinagre y sal",1.8,1.75
"Vinagre de Jerez reserva Hacendado",13609,"Aceite, especias y salsas","Aceite, vinagre y sal",1.8,2
"Bebida aromatizada a base de vino para cocinar Abuela Carola",66905,Bodega,"Vino blanco",2.25,2.35
"Bebida aromatizada a base de vino para cocinar Abuela Carola",66905,Bodega,"Vino blanco",2.25,2.35
"Bebida aromatizada a base de vino para cocinar Abuela Carola",66905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.35
"Bebida aromatizada a base de vino para cocinar Abuela Carola",66905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.35
"Vinagre de vino tinto Hacendado",15843,"Aceite, especias y salsas","Aceite, vinagre y sal",0.95,1
"Reducción de vinagre Pedro Ximénez Hacendado",4905,"Aceite, especias y salsas","Aceite, vinagre y sal",2.25,2.25
"Aceite de oliva, vinagre y sal Merry",4962,"Aceite, especias y salsas","Aceite, vinagre y sal",2,2.2
"Aliño viandox Knorr",7104,"Aceite, especias y salsas","Aceite, vinagre y sal",3.05,3.05
"Sal fina Hacendado",19731,"Aceite, especias y salsas","Aceite, vinagre y sal",0.3,0.35
"Sal fina de mesa Hacendado",19715,"Aceite, especias y salsas","Aceite, vinagre y sal",0.5,0.6
