category,subcategory,description,price_eu,compare,brand,supermercado
Despensa,Aperitivos y frutos secos,Aceitunas Negras sin Hueso Lata 150 Gr,1.29,"7,93 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes con Cáscara Natural Tostado Bolsa 250 Gr,1.05,"4,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes con Cáscara Tostados con Sal Bolsa 250 Gr,1.05,"4,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Ganchito Maíz Sabor Queso Bolsa 80 Gr,0.75,"8,75 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas Anchoa Suave Pack 3 3 x 50 Gr,2.99,"17,66 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Altramuces Tarro 380 Gr,1.69,"4,08 € / 1 Kg",Saladitos,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Original 165 Gr,2.55,"12,06 € / 1 Kg",Pringles,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Sour Cream 165 Gr,2.55,"12,06 € / 1 Kg",Pringles,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuete Collaret Bolsa 500 Gr,3.59,"5,98 € / 1 Kg",,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Sabor Campesinas 150 Gr,1.2,"7,67 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Manzanilla sin Hueso Pack de 3 150 Gr,1.89,"11,27 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Cacereña Negra Sin Hueso 150 Gr,1.95,"11,67 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Guindilla Rubia Picante Toreras Frasco 120 Gr,1.99,"14,16 € / 1 Kg",Kimbo,CONSUM
Despensa,Aperitivos y frutos secos,Coctel Frutos Secos sin Cáscara 170 Gr,1.75,"8,76 € / 1 Kg",Frit ravich,CONSUM
Despensa,Aperitivos y frutos secos,Pipas XXL Bolsa 170 Gr,1.85,"10,33 € / 1 Kg",El manisero,CONSUM
Despensa,Aperitivos y frutos secos,Conos de Maíz 3D's Sabor Queso y Bacon 100 Gr,1.89,"16,00 € / 1 Kg",Matutano,CONSUM
Despensa,Aperitivos y frutos secos,Crackers Quinoa y Chía Bote 250 Gr,2.15,"7,40 € / 1 Kg",Gullon,CONSUM
