description,units,price_eu,unit_price,date,order_num,user,product_code
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-01-10,302316,user2,
refresco coca-cola zero azúcar,1,7.56,7.56,2020-01-10,302316,user2,
dentífrico triple acción colgate con flúor,2,3.5,1.75,2020-01-10,302316,user2,
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-01-10,302316,user2,
lenteja cocida pardina hacendado,2,0.98,0.49,2020-01-10,302316,user2,
piadinas pan estilo italiano hacendado,1,1.95,1.95,2020-01-10,302316,user2,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,user2,
gelatina 0% azúcar sabor fresa hacendado,1,0.98,0.98,2020-01-10,302316,user2,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-01-10,302316,user2,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2020-01-10,302316,user2,
papel higiénico doble rollo bosque verde,2,7.64,3.82,2020-01-10,302316,user2,
atún claro en aceite de oliva hacendado,2,7.98,3.99,2020-01-10,302316,user2,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2020-01-10,302316,user2,
garbanzo cocido hacendado,2,1.4,0.7,2020-01-10,302316,user2,
hogaza 100% natural,1,1.0,1.0,2020-01-10,302316,user2,
agua mineral cortes,2,1.46,0.73,2020-01-10,302316,user2,
leche desnatada pascual,2,10.68,5.34,2020-01-10,302316,user2,
dentífrico original binaca,2,3.0,1.5,2020-01-10,302316,user2,
morcilla oreada d' ontinyent,1,1.34,1.34,2020-01-10,302316,user2,
servilleta papel bosque verde,1,0.92,0.92,2019-02-27,125935,user2,
huevos grandes l,1,1.45,1.45,2019-02-27,125935,user2,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2019-02-27,125935,user2,
cebolla amarilla,1,1.89,1.89,2019-02-27,125935,user2,
ajo morado,1,1.2,1.2,2019-02-27,125935,user2,
desodorante roll-on dermo extra control sanex,1,1.8,1.8,2019-02-27,125935,user2,
espárragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,user2,
yogur bífidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,user2,
lavavajillas ultra original fairy líquido,1,2.8,2.8,2019-02-27,125935,user2,
agua mineral cortes,1,0.73,0.73,2019-02-27,125935,user2,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2019-02-27,125935,user2,
galletas cookies hacendado,1,1.25,1.25,2019-02-27,125935,user2,
tomate cherry,1,1.49,1.49,2019-02-27,125935,user2,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-02-27,125935,user2,
"champú agua de coco fructis raíces grasas, puntas secas",1,2.95,2.95,2019-02-27,125935,user2,
arroz redondo la fallera,1,1.35,1.35,2019-02-27,125935,user2,
plátano,6,2.2,0.3666666666666667,2019-02-27,125935,user2,
dentífrico original binaca,1,1.5,1.5,2019-02-27,125935,user2,
maíz dulce hacendado,1,0.95,0.95,2019-02-27,125935,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2019-02-27,125935,user2,
queso rallado hacendado especial fundir,1,1.0,1.0,2019-02-27,125935,user2,
hogaza 100% natural,1,1.0,1.0,2019-02-27,125935,user2,
café en cápsula sontuoso l'or espresso,2,6.58,3.29,2019-02-27,125935,user2,
chocolate con leche lindt,1,1.15,1.15,2019-02-27,125935,user2,
papel higiénico doble rollo bosque verde,1,3.74,3.74,2019-02-27,125935,user2,
café en cápsula ristretto l'or espresso,3,9.87,3.29,2019-02-27,125935,user2,
lenteja cocida hacendado,2,1.18,0.59,2019-02-27,125935,user2,
garbanzo cocido hacendado,1,0.7,0.7,2019-02-27,125935,user2,
leche desnatada pascual,2,10.68,5.34,2019-02-27,125935,user2,
pan de molde con avena hacendado,1,1.25,1.25,2019-02-27,125935,user2,
queso curado entrepinares,1,2.66,2.66,2019-02-27,125935,user2,
queso havarti light hacendado lonchas,1,2.56,2.56,2019-02-27,125935,user2,
morcilla oreada d' ontinyent,1,1.48,1.48,2019-02-27,125935,user2,
longaniza fresca d' ontinyent,1,3.06,3.06,2019-02-27,125935,user2,
placas para canelones del castillo,1,0.58,0.58,2019-02-27,125935,user2,
pañuelos de papel extra suaves bosque verde,1,1.05,1.05,2019-02-27,125935,user2,
agua mineral bronchales grande,1,2.46,2.46,2019-02-27,125935,user2,
mozzarella fresca hacendado,2,1.6,0.8,2019-02-27,125935,user2,
pizza ibérica hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,user2,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,user2,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,user2,
espárrago verde entero jv ultracongelado,1,2.6,2.6,2019-02-27,125935,user2,
yogur natural edulcorado hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-02-27,125935,user2,
verdura floretas de brócoli para micro,1,1.2,1.2,2019-02-27,125935,user2,
pizza masa fina jamón hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,user2,
anguriñas pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935,user2,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.15,2.15,2019-02-27,125935,user2,
