description,units,price_eu,unit_price,date,order_num,product_code
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-01-10,302316,
refresco coca-cola zero azucar,1,7.56,7.56,2020-01-10,302316,
dentifrico triple accion colgate con fluor,2,3.5,1.75,2020-01-10,302316,
aceite de oliva virgen extra hacendado,1,9.5,9.5,2020-01-10,302316,
lenteja cocida pardina hacendado,2,0.98,0.49,2020-01-10,302316,
piadinas pan estilo italiano hacendado,1,1.95,1.95,2020-01-10,302316,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,
gelatina 0% azucar sabor fresa hacendado,1,0.98,0.98,2020-01-10,302316,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-01-10,302316,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316,
tomate frito receta artesana hacendado,1,1.7,1.7,2020-01-10,302316,
papel higienico doble rollo bosque verde,2,7.64,3.82,2020-01-10,302316,
atun claro en aceite de oliva hacendado,2,7.98,3.99,2020-01-10,302316,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2020-01-10,302316,
garbanzo cocido hacendado,2,1.4,0.7,2020-01-10,302316,
hogaza 100% natural,1,1.0,1.0,2020-01-10,302316,
agua mineral cortes,2,1.46,0.73,2020-01-10,302316,
leche desnatada pascual,2,10.68,5.34,2020-01-10,302316,
dentifrico original binaca,2,3.0,1.5,2020-01-10,302316,
morcilla oreada d' ontinyent,1,1.34,1.34,2020-01-10,302316,
huevos grandes l,1,1.45,1.45,2019-02-27,125935,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2019-02-27,125935,
cebolla amarilla,1,1.89,1.89,2019-02-27,125935,
ajo morado,1,1.2,1.2,2019-02-27,125935,
desodorante roll-on dermo extra control sanex,1,1.8,1.8,2019-02-27,125935,
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,
compresa con alas normal evax cotton like,1,3.95,3.95,2019-02-27,125935,
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-02-27,125935,
agua mineral cortes,1,0.73,0.73,2019-02-27,125935,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2019-02-27,125935,
galletas cookies hacendado,1,1.25,1.25,2019-02-27,125935,
tomate cherry,1,1.49,1.49,2019-02-27,125935,
limpiacristales y multiusos bosque verde,1,1.15,1.15,2019-02-27,125935,
"champu agua de coco fructis raices grasas, puntas secas",1,2.95,2.95,2019-02-27,125935,
arroz redondo la fallera,1,1.35,1.35,2019-02-27,125935,
platano,6,2.2,0.3666666666666667,2019-02-27,125935,
dentifrico original binaca,1,1.5,1.5,2019-02-27,125935,
maiz dulce hacendado,1,0.95,0.95,2019-02-27,125935,
tomate frito receta artesana hacendado,1,1.7,1.7,2019-02-27,125935,
queso rallado hacendado especial fundir,1,1.0,1.0,2019-02-27,125935,
hogaza 100% natural,1,1.0,1.0,2019-02-27,125935,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2019-02-27,125935,
chocolate con leche lindt,1,1.15,1.15,2019-02-27,125935,
papel higienico doble rollo bosque verde,1,3.74,3.74,2019-02-27,125935,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2019-02-27,125935,
lenteja cocida hacendado,2,1.18,0.59,2019-02-27,125935,
garbanzo cocido hacendado,1,0.7,0.7,2019-02-27,125935,
leche desnatada pascual,2,10.68,5.34,2019-02-27,125935,
pan de molde con avena hacendado,1,1.25,1.25,2019-02-27,125935,
queso curado entrepinares,1,2.66,2.66,2019-02-27,125935,
queso havarti light hacendado lonchas,1,2.56,2.56,2019-02-27,125935,
morcilla oreada d' ontinyent,1,1.48,1.48,2019-02-27,125935,
longaniza fresca d' ontinyent,1,3.06,3.06,2019-02-27,125935,
placas para canelones del castillo,1,0.58,0.58,2019-02-27,125935,
panuelos de papel extra suaves bosque verde,1,1.05,1.05,2019-02-27,125935,
agua mineral bronchales grande,1,2.46,2.46,2019-02-27,125935,
mozzarella fresca hacendado,2,1.6,0.8,2019-02-27,125935,
pizza iberica hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,
pizza mozzarella y pesto hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,
pizza masa fina 4 quesos hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,
esparrago verde entero jv ultracongelado,1,2.6,2.6,2019-02-27,125935,
yogur natural edulcorado hacendado 0% materia grasa 0% sin azucares anadidos,1,0.79,0.79,2019-02-27,125935,
verdura floretas de brocoli para micro,1,1.2,1.2,2019-02-27,125935,
pizza masa fina jamon hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,
angurinas pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935,
aceitunas manzanilla rellenas de anchoa hacendado,1,2.15,2.15,2019-02-27,125935,
salchichon extra hacendado lonchas,1,1.39,1.39,2019-02-27,125935,
aceitunas negras cacerenas hacendado a rodajas,1,1.5,1.5,2019-02-27,125935,
atun claro en aceite de oliva hacendado,1,3.99,3.99,2019-02-27,125935,
patatas,1,3.85,3.85,2020-10-22,404271,
zanahorias,1,0.69,0.69,2020-10-22,404271,
corazones de alcachofa hacendado,1,2.3,2.3,2020-10-22,404271,
huevos grandes l,1,1.45,1.45,2020-10-22,404271,
platano,6,1.94,0.3233333333333333,2020-10-22,404271,
champu anticaspa h&s cabello graso,1,2.99,2.99,2020-10-22,404271,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-10-22,404271,
lavavajillas todo en 1 fairy en pastillas,1,4.5,4.5,2020-10-22,404271,
perlas de mozzarella fresca hacendado,1,1.7,1.7,2020-10-22,404271,
dentifrico triple accion colgate con fluor,2,3.5,1.75,2020-10-22,404271,
lenteja cocida pardina hacendado,2,0.98,0.49,2020-10-22,404271,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-10-22,404271,
gelatina 0% azucar sabor fresa hacendado,1,0.98,0.98,2020-10-22,404271,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-10-22,404271,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271,
papel higienico doble rollo bosque verde,1,3.82,3.82,2020-10-22,404271,
hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635,
dentifrico blanqueador sensation colgate,2,4.1,2.05,2020-10-01,466635,
jamon cocido extra hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,
lenteja cocida hacendado,2,1.18,0.59,2020-10-01,466635,
nata ligera para cocinar hacendado,1,1.32,1.32,2020-10-01,466635,
huevos grandes l,1,1.45,1.45,2020-10-01,466635,
gazpacho fresco hacendado,1,2.69,2.69,2020-10-01,466635,
garbanzo cocido hacendado,2,1.4,0.7,2020-10-01,466635,
patatas,1,3.95,3.95,2020-10-01,466635,
cebollas,1,1.3,1.3,2020-10-01,466635,
