categoria,subcategoria,descripcion,price_eu,price_disc_eu,marca,format,quantity
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,6.8,6.24,Aquarius,latas,8 x 330 ml
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado",9.25,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,29.55,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,9.9,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección,8.1,,Hacendado,Botella,1 x 750 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,9.25,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,28.5,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,9.55,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva suave Hacendado,27.6,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva intenso Hacendado,27.6,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,3.3,,Hacendado,Spray,1 x 200 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal,7.85,,,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",6.95,6.75,Hacendado,Garrafa,1 x 5 L
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",1.45,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de coco virgen Hacendado,4.4,,Hacendado,Bote,1 x 450 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado,0.75,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado,0.9,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Limón exprimido Hacendado,1.0,,Hacendado,Botella,1 x 280 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Crema de vinagre balsámico de Módena Hacendado,1.75,,Hacendado,Botella,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de Jerez reserva Hacendado,2.0,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Bebida aromatizada a base de vino para cocinar Abuela Carola,2.35,,,Botella,1 x 750 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino tinto Hacendado,1.0,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Reducción de vinagre Pedro Ximénez Hacendado,2.25,,Hacendado,Botella,1 x 300 g
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva, vinagre y sal Merry",2.2,,,monodosis,15 x 10 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aliño viandox Knorr,3.05,,,Botella,1 x 160 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre balsámico de Módena Hacendado,2.5,,Hacendado,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado sin filtrar,1.7,,Hacendado,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina Hacendado,0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina de mesa Hacendado,0.6,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal yodada fina Hacendado,0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa Hacendado,0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,1.5,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,1.1,,Hacendado,Bote,1 x 300 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal marina en escamas Polasal,2.0,,,Bote,1 x 125 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa para hornear Hacendado,0.95,,Hacendado,Paquete,1 x 2 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de ajo Hacendado,1.8,,Hacendado,Bote,1 x 130 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de frutas sabor limón Hacendado,2.1,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal 60% menos de sodio Hacendado,2.3,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Preparado para salmón ahumado Hacendado,3.3,,Hacendado,Bote,1 x 750 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal rosa del Himalaya Hacendado,1.8,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas",Especias,Orégano Hacendado,0.95,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Perejil Hacendado,0.95,0.9,Hacendado,Bote,1 x 18 g
"Aceite, especias y salsas",Especias,Hoja de laurel Hacendado,0.8,,Hacendado,Paquete,1 x 12 g
"Aceite, especias y salsas",Especias,Hierbas provenzales Hacendado,1.2,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Albahaca Hacendado,1.25,,Hacendado,Bote,1 x 20 g
"Aceite, especias y salsas",Especias,Romero Hacendado,1.35,,Hacendado,Bote,1 x 40 g
"Aceite, especias y salsas",Especias,Tomillo Hacendado,1.05,,Hacendado,Bote,1 x 24 g
"Aceite, especias y salsas",Especias,Eneldo Hacendado,1.85,,Hacendado,Bote,1 x 18 g
"Aceite, especias y salsas",Especias,Cilantro Hacendado,1.85,,Hacendado,Bote,1 x 12 g
"Aceite, especias y salsas",Especias,Ajo y Perejil Hacendado,1.35,,Hacendado,Bote,1 x 74 g
"Aceite, especias y salsas",Especias,Colorante alimentario Hacendado,0.9,,Hacendado,Bote,1 x 85 g
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,1.0,,Hacendado,Bote,1 x 56 g
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,1.4,,Hacendado,Bote,1 x 75 g
"Aceite, especias y salsas",Especias,Pimentón dulce de la Vera Hacendado,1.75,,Hacendado,Bote,1 x 75 g
"Aceite, especias y salsas",Especias,Azafrán molido Hacendado,1.75,,Hacendado,Paquete 4 sobres ,"1 x 0,4 g"
"Aceite, especias y salsas",Especias,Azafrán hebra Hacendado,1.7,,Hacendado,Paquete 3 usos ,"1 x 0,38 g"
"Aceite, especias y salsas",Especias,Pimentón picante Hacendado,1.35,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Pimienta negra molida Hacendado,1.05,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Molinillo pimienta negra Hacendado,1.65,,Hacendado,Bote,1 x 65 g
"Aceite, especias y salsas",Especias,Pimienta negra en grano Hacendado,1.45,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Molinillo mix pimientas Hacendado,1.85,,Hacendado,Bote,1 x 50 g
"Aceite, especias y salsas",Especias,Pimienta blanca molida Hacendado,2.15,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Ajo granulado Hacendado,1.15,1.1,Hacendado,Bote,1 x 115 g
"Aceite, especias y salsas",Especias,Cebolla frita crujiente Hacendado,1.15,,Hacendado,Bote,1 x 150 g
"Aceite, especias y salsas",Especias,Canela molida Hacendado,0.95,,Hacendado,Bote,1 x 52 g
"Aceite, especias y salsas",Especias,Canela en rama Hacendado,1.45,,Hacendado,Bote,1 x 19 g
"Aceite, especias y salsas",Especias,Comino molido Hacendado,1.2,,Hacendado,Bote,1 x 58 g
"Aceite, especias y salsas",Especias,Comino en grano Hacendado,1.95,,Hacendado,Bote,1 x 56 g
"Aceite, especias y salsas",Especias,Curry Hacendado,1.15,,Hacendado,Bote,1 x 57 g
"Aceite, especias y salsas",Especias,Nuez moscada molida Hacendado,1.65,,Hacendado,Bote,1 x 58 g
"Aceite, especias y salsas",Especias,Cebolla en polvo Hacendado,0.96,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Cayena guindillas Hacendado,1.3,,Hacendado,Bote,1 x 27 g
"Aceite, especias y salsas",Especias,Cayena molida Hacendado,1.59,,Hacendado,Bote,1 x 55 g
"Aceite, especias y salsas",Especias,Cúrcuma Hacendado,1.25,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Jengibre molido Hacendado,1.65,,Hacendado,Bote,1 x 49 g
"Aceite, especias y salsas",Especias,Sal de ajo Hacendado,1.8,,Hacendado,Bote,1 x 130 g
"Aceite, especias y salsas",Especias,Clavo en grano Hacendado,1.75,,Hacendado,Bote,1 x 42 g
"Aceite, especias y salsas",Especias,Piñones Hacendado,2.84,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Picada catalana Hacendado,1.95,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Sazonador para fajitas Hacendado sabor tex-mex,0.85,,Hacendado,Sobre,1 x 17 g
"Aceite, especias y salsas",Especias,Sazonador ajo y limón Hacendado para carne y pescado,1.05,,Hacendado,Sobre,1 x 30 g
"Aceite, especias y salsas",Especias,Sazonador hierbas provenzales Hacendado para pollo y costillas,1.0,,Hacendado,Sobre,1 x 24 g
"Aceite, especias y salsas",Especias,Sazonador sabor barbacoa Hacendado para carne,1.35,,Hacendado,Sobre,1 x 57 g
"Aceite, especias y salsas",Especias,Sazonador para paella con azafrán Hacendado,1.45,,Hacendado,Caja 5 sobres ,1 x 20 g
"Aceite, especias y salsas",Especias,Sazonador para burritos Hacendado,1.3,,Hacendado,Sobre,1 x 40 g
"Aceite, especias y salsas",Especias,Sazonador pollo y carne Hacendado,1.5,,Hacendado,Bote,1 x 76 g
"Aceite, especias y salsas",Especias,Sazonador pasta Hacendado,2.5,,Hacendado,Bote,1 x 45 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,1.25,,Hacendado,Tarro,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,1.0,0.95,Hacendado,Tarro,1 x 240 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,1.35,,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa en sobres individuales,1.25,,,sobres,12 x 20 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,3.25,2.95,,Tarro,1 x 450 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,1.95,,,Tarro,1 x 225 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,2.65,,,Tarro,1 x 425 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,1.55,,,Tarro,1 x 210 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,2.65,,,Bote,1 x 430 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Ybarra,2.25,,,Bote,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa fina Kraft,2.0,,,Tarro,1 x 425 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,1.3,1.2,Hacendado,Tarro,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,1.35,1.25,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado,1.3,,Hacendado,Bote,1 x 600 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado en sobres individuales,1.4,,Hacendado,Paquete 12 sobres ,1 x 240 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Heinz,3.5,,,Bote,1 x 650 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup zero azúcares añadidos Hacendado,1.6,,Hacendado,Bote,1 x 600 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza a la antigua Hacendado,1.7,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza de Dijon Hacendado,1.25,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza clásica Hacendado,1.35,,Hacendado,Bote,1 x 388 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Chovi,1.35,,,Tarrina,1 x 180 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Hacendado,1.1,,Hacendado,Tarrina,1 x 200 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli en sobres individuales Hacendado,1.5,,Hacendado,Paquete 8 sobres ,1 x 160 ml
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,1.4,,Hacendado,bricks,3 x 400 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,1.1,1.0,Hacendado,mini bricks,3 x 210 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,0.95,0.85,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,2.4,,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,1.65,,Hacendado,Tarro,1 x 300 g
"Aceite, especias y salsas",Otras salsas,Tomate frito estilo casero Hacendado,1.3,,Hacendado,Brick,1 x 380 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado con aceite de oliva,1.4,,Hacendado,mini bricks,3 x 210 g
"Aceite, especias y salsas",Otras salsas,Tomate frito sin azúcares añadidos Hacendado,1.2,1.1,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito con cebolla Hacendado,1.35,,Hacendado,Brick,1 x 380 g
"Aceite, especias y salsas",Otras salsas,Salsa barbacoa Hacendado,1.15,,Hacendado,Bote,1 x 350 g
"Aceite, especias y salsas",Otras salsas,Salsa pimienta verde Hacendado,1.25,,Hacendado,Sobre,1 x 50 g
