categoria,subcategoria,descripcion,precio
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Pechuga de pavo Nuestra Alacena sobre 2 x 200 g,"3,59 €
(8,98 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Jamón cocido extra Nuestra Alacena sobre 2 x 225 g,"3,19 €
(7,09 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Bacon en tiras Nuestra Alacena bandeja 2 x 100 g,"1,89 €
(9,45 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Bacon Nuestra Alacena sobre 200 g,"1,99 €
(9,95 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Jamón cocido extra 97% carne Nuestra Alacena sobre 150 g,"1,99 €
(13,27 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Pechuga de pavo 90% carne Nuestra Alacena sobre 120 g,"2,19 €
(18,25 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Jamón cocido extra Elpozo 1954 sobre 150 g,"2,00 €
(13,33 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Mortadela Nuestra Alacena sobre 250 g,"1,25 €
(5,00 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Fiambre de pavo sándwich Elpozo bandeja 270 g,"2,00 €
(7,41 €/KILO)"
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",Pechuga de pavo Campofrío Finissimas sobre 115 g,"1,99 €
(17,30 €/KILO)"
Charcutería y quesos,Jamón curado y paleta,Jamón serrano reserva Nuestra Alacena bandeja 200 g,"3,59 €
(17,95 €/KILO)"
Charcutería y quesos,Jamón curado y paleta,Mini taquitos de jamón Nuestra Alacena bandeja 2 x 75 g,"2,29 €
(15,27 €/KILO)"
Charcutería y quesos,Jamón curado y paleta,Paleta curada reserva Nuestra Alacena bandeja 200 g,"2,87 €
(14,36 €/KILO)"
Charcutería y quesos,Jamón curado y paleta,Paleta de cebo ibérica 50% Nuestra Alacena bandeja 100 g,"4,99 €
(49,90 €/KILO)"
