categoria,subcategoria,descripcion,unidades,precio,code,compare
Fruta y verdura,Fruta,Plátano de Canarias IGP,Pieza 160 g aprox.,"0,32 € /ud.",3819," 1,99 €/kg"
Fruta y verdura,Fruta,Banana,Pieza 170 g aprox.,"0,25 € /ud.",3824," 1,45 €/kg"
Fruta y verdura,Fruta,Plátano macho,Pieza 300 g aprox.,"0,87 € /ud.",3132," 2,89 €/kg"
Fruta y verdura,Fruta,Uva blanca sin semillas,Bandeja 500 g aprox.,"2,55 € /ud.",3313," 5,10 €/kg"
Fruta y verdura,Fruta,Uva roja sin semillas,Bandeja 500 g aprox.,"2,45 € /ud.",3321," 4,89 €/kg"
Fruta y verdura,Fruta,Manzana Golden,Pieza 240 g aprox.,"0,50 € /ud.",3028," 2,09 €/kg"
Fruta y verdura,Fruta,Manzanas Golden,"Bolsa 1,5 kg aprox.","2,84 € /ud.",3269," 1,89 €/kg"
Fruta y verdura,Fruta,Pera Conferencia,Pieza 150 g aprox.,"0,37 € /ud.",3119," 2,49 €/kg"
Fruta y verdura,Fruta,Peras Conferencia,"1,5 kg aprox.","2,69 € /pack",3297," 1,79 €/kg"
Fruta y verdura,Fruta,Manzana roja dulce,Pieza 290 g aprox.,"0,80 € /ud.",8177," 2,75 €/kg"
Fruta y verdura,Fruta,Manzanas rojas dulces,"Bolsa 1,5 kg aprox.","3,59 € /ud.",8280," 2,39 €/kg"
Fruta y verdura,Fruta,Pera Ercolina,Pieza 100 g aprox.,"0,35 € /ud.",3170," 3,49 €/kg"
Fruta y verdura,Fruta,Manzana Granny Smith,Pieza 190 g aprox.,"0,40 € /ud.",3021," 2,09 €/kg"
Fruta y verdura,Fruta,Pera Rocha,Pieza 130 g aprox.,"0,31 € /ud.",3267," 2,39 €/kg"
Fruta y verdura,Fruta,Manzana roja acidulce,Pieza 240 g aprox.,"0,57 € /ud.",8175," 2,39 €/kg"
Fruta y verdura,Fruta,Manzanas rojas acidulces,"Bolsa 1,5 kg aprox.","2,54 € /ud.",8268," 1,69 €/kg"
Fruta y verdura,Fruta,1/4 Sandía baja en semillas,"1/4 Pieza 1,75 kg aprox.","4,01 € /ud.",3505.2," 2,29 €/kg"
Fruta y verdura,Fruta,Media sandía baja en semillas,"1/2 Pieza 3,36 kg aprox.","7,69 € /ud.",3505.1," 2,29 €/kg"
Fruta y verdura,Fruta,Sandía baja en semillas,"Pieza 6,96 kg aprox.","15,24 € /ud.",3529," 2,19 €/kg"
Fruta y verdura,Fruta,Medio melón piel de sapo,"1/2 Pieza 1,68 kg aprox.","3,51 € /ud.",3515," 2,09 €/kg"
Fruta y verdura,Fruta,Melón piel de sapo,"Pieza 3,24 kg aprox.","6,12 € /ud.",3506," 1,89 €/kg"
Fruta y verdura,Fruta,Limones,Malla 1 kg,"1,69 €1,55 € /ud.",3236," 1,55 €/kg"
Fruta y verdura,Fruta,Limón,Pieza 160 g aprox.,"0,30 € /ud.",3210," 1,85 €/kg"
Fruta y verdura,Fruta,Mandarina,Pieza 130 g aprox.,"0,26 € /ud.",3238," 1,99 €/kg"
Fruta y verdura,Fruta,Mandarinas,"1,5 kg","3,29 €3,14 € /pack",30501," 2,094 €/kg"
Fruta y verdura,Fruta,Mandarina,Malla 2 kg,"3,78 €3,58 € /ud.",5504," 1,79 €/kg"
Fruta y verdura,Fruta,Naranja para mesa,Pieza 280 g aprox.,"0,53 € /ud.",3235," 1,89 €/kg"
Fruta y verdura,Fruta,Naranjas,Malla 3 kg,"4,47 € /ud.",3277," 1,49 €/kg"
Fruta y verdura,Fruta,Naranjas,Malla 5 kg,"4,95 € /ud.",3485," 0,99 €/kg"
Fruta y verdura,Fruta,Pomelo,Pieza 290 g aprox.,"0,58 € /ud.",3202," 1,99 €/kg"
Fruta y verdura,Fruta,Lima,Pieza 80 g aprox.,"0,32 € /ud.",3897," 3,99 €/kg"
Fruta y verdura,Fruta,Kiwi verde,Pieza 110 g aprox.,"0,28 € /ud.",3820," 2,50 €/kg"
Fruta y verdura,Fruta,Kiwis verdes,Bandeja 1 kg aprox.,"2,88 € /ud.",3832," 2,88 €/kg"
Fruta y verdura,Fruta,Aguacate,Pieza 190 g aprox.,"1,00 € /ud.",3830," 5,25 €/kg"
Fruta y verdura,Fruta,Aguacates,550 g aprox.,"2,69 € /pack",3858," 4,89 €/kg"
Fruta y verdura,Fruta,Piña,"Pieza 2,14 kg aprox.","3,10 € /ud.",3125," 1,45 €/kg"
Fruta y verdura,Fruta,Media piña,"1/2 Pieza 1,07 kg aprox.","1,77 € /ud.",5425," 1,65 €/kg"
Fruta y verdura,Fruta,Guacamole Hacendado,Tarrina 500 g,"3,59 € /ud.",3840," 7,18 €/kg"
Fruta y verdura,Fruta,Guacamole Hacendado,Tarrina 200 g,"1,75 € /ud.",3852," 8,75 €/kg"
Fruta y verdura,Fruta,Mango,Pieza 450 g aprox.,"1,53 € /ud.",3050," 3,39 €/kg"
Fruta y verdura,Fruta,Piña natural a rodajas,Bote 500 g aprox.,"2,90 € /ud.",3024," 5,79 €/kg"
Fruta y verdura,Fruta,Papaya,Pieza 480 g aprox.,"2,40 € /ud.",3026," 4,99 €/kg"
Fruta y verdura,Fruta,Fresón,Bandeja 500 g aprox.,"2,70 € /ud.",3715," 5,40 €/kg"
Fruta y verdura,Fruta,Frambuesas,Bandeja 170 g,"2,50 € /ud.",5508," 14,706 €/kg"
Fruta y verdura,Fruta,Moras,Bandeja 125 g,"2,39 € /ud.",3704," 19,12 €/kg"
Fruta y verdura,Fruta,Arándanos,Vaso 225 g,"3,15 €2,99 € /ud.",5501," 13,289 €/kg"
Fruta y verdura,Fruta,Arándanos,Tarrina 500 g,"6,49 €6,25 € /ud.",5507," 12,50 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Lechuga Iceberg,Pieza 1 ud.,"1,05 €0,99 € /ud.",68130," 0,99 €/ud"
Fruta y verdura,Lechuga y ensalada preparada,Ensalada mezcla 4 estaciones,Paquete 250 g,"0,72 € /ud.",69706," 2,88 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Lechugas corazón romana,Paquete 2 ud.,"1,63 € /ud.",69121," 0,815 €/ud"
Fruta y verdura,Lechuga y ensalada preparada,Ensalada mezcla brotes tiernos,Paquete 100 g,"1,15 € /ud.",69757," 11,50 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Canónigos,Paquete 125 g,"1,14 € /ud.",69719," 9,12 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Lechuga iceberg,Paquete 250 g,"0,86 € /ud.",69670," 3,44 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Ensalada mezcla gourmet,Paquete 175 g,"1,02 € /ud.",69744," 5,829 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Cogollos de lechuga,Paquete 3 ud.,"1,12 € /ud.",69581," 0,374 €/ud"
Fruta y verdura,Lechuga y ensalada preparada,Lechuga corazón romana,Paquete 1 ud.,"1,15 € /ud.",69122," 1,15 €/ud"
Fruta y verdura,Lechuga y ensalada preparada,Endibias,Bandeja 450 g,"1,65 € /ud.",69591," 3,667 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Ensalada mezcla brotes tiernos maxi,Paquete 175 g,"1,59 € /ud.",69810," 9,086 €/kg"
Fruta y verdura,Lechuga y ensalada preparada,Ensalada mezcla gourmet maxi,Paquete 300 g,"1,66 € /ud.",69741," 5,534 €/kg"
