categoria,subcategoria,descripcion,unidades,precio,code,compare
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado",Botella 1 L,"9,25 € /ud.",4240," 9,25 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Garrafa 3 L,"29,55 € /ud.",4717," 9,85 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Botella 1 L,"9,90 € /ud.",4740," 9,90 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,"8,10 € /ud.",4706," 10,80 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,Botella 1 L,"9,25 € /ud.",4640," 9,25 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Garrafa 3 L,"28,50 € /ud.",4711," 9,50 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Botella 1 L,"9,55 € /ud.",4749," 9,55 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva suave Hacendado,Garrafa 3 L,"27,60 € /ud.",4204," 9,20 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva intenso Hacendado,Garrafa 3 L,"27,60 € /ud.",4609," 9,20 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Spray 200 ml,"3,30 € /ud.",4718," 16,50 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,"7,85 € /ud.",4850," 15,70 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,"6,95 €6,75 € /ud.",4041," 1,35 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,"1,45 € /ud.",4040," 1,45 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de coco virgen Hacendado,Bote 450 ml,"4,40 € /ud.",4193," 9,778 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado,Botella 1 L,"0,75 € /ud.",4940," 0,75 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado,Botella 1 L,"0,90 € /ud.",4957," 0,90 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Limón exprimido Hacendado,Botella 280 ml,"1,00 € /ud.",4903," 3,572 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,"1,75 € /ud.",4908," 7,00 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de Jerez reserva Hacendado,Botella 250 ml,"2,00 € /ud.",13609," 8,00 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,"2,35 € /ud.",66905," 3,134 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino tinto Hacendado,Botella 1 L,"1,00 € /ud.",15843," 1,00 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,"2,25 € /ud.",4905," 7,50 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,"2,20 € /pack",4962," 22,00 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aliño viandox Knorr,Botella 160 ml,"3,05 € /ud.",7104," 15,25 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre balsámico de Módena Hacendado,Botella 500 ml,"2,50 € /ud.",26496," 5,00 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado sin filtrar,Botella 500 ml,"1,70 € /ud.",26497," 3,40 €/L"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina Hacendado,Paquete 1 kg,"0,35 € /ud.",19731," 0,35 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina de mesa Hacendado,Bote 250 g,"0,60 € /ud.",19715," 2,40 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal yodada fina Hacendado,Paquete 1 kg,"0,35 € /ud.",19732," 0,35 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa Hacendado,Paquete 1 kg,"0,35 € /ud.",19733," 0,35 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Paquete 1 kg,"1,50 € /ud.",29007," 1,50 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Bote 300 g,"1,10 € /ud.",29006," 3,667 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal marina en escamas Polasal,Bote 125 g,"2,00 € /ud.",19740," 16,00 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa para hornear Hacendado,Paquete 2 kg,"0,95 € /ud.",19734," 0,475 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de ajo Hacendado,Bote 130 g,"1,80 € /ud.",34130," 13,847 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de frutas sabor limón Hacendado,Bote 250 g,"2,10 € /ud.",29016," 8,40 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal 60% menos de sodio Hacendado,Bote 250 g,"2,30 € /ud.",19713," 9,20 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Preparado para salmón ahumado Hacendado,Bote 750 g,"3,30 € /ud.",19726," 4,40 €/kg"
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal rosa del Himalaya Hacendado,Bote 250 g,"1,80 € /ud.",19701," 7,20 €/kg"
"Aceite, especias y salsas",Especias,Orégano Hacendado,Bote 25 g,"0,95 € /ud.",5598," 3,80 €/100 g"
"Aceite, especias y salsas",Especias,Perejil Hacendado,Bote 18 g,"0,95 €0,90 € /ud.",5599," 5,00 €/100 g"
"Aceite, especias y salsas",Especias,Hoja de laurel Hacendado,Paquete 12 g,"0,80 € /ud.",47994," 6,667 €/100 g"
"Aceite, especias y salsas",Especias,Hierbas provenzales Hacendado,Bote 25 g,"1,20 € /ud.",34131," 4,80 €/100 g"
"Aceite, especias y salsas",Especias,Albahaca Hacendado,Bote 20 g,"1,25 € /ud.",34128," 6,25 €/100 g"
"Aceite, especias y salsas",Especias,Romero Hacendado,Bote 40 g,"1,35 € /ud.",34175," 3,375 €/100 g"
"Aceite, especias y salsas",Especias,Tomillo Hacendado,Bote 24 g,"1,05 € /ud.",5547," 4,375 €/100 g"
"Aceite, especias y salsas",Especias,Eneldo Hacendado,Bote 18 g,"1,85 € /ud.",52739," 10,278 €/100 g"
"Aceite, especias y salsas",Especias,Cilantro Hacendado,Bote 12 g,"1,85 € /ud.",34721," 15,417 €/100 g"
"Aceite, especias y salsas",Especias,Ajo y Perejil Hacendado,Bote 74 g,"1,35 € /ud.",60873," 18,244 €/kg"
"Aceite, especias y salsas",Especias,Colorante alimentario Hacendado,Bote 85 g,"0,90 € /ud.",34182," 10,589 €/kg"
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 56 g,"1,00 € /ud.",34184," 17,858 €/kg"
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 75 g,"1,40 € /ud.",34186," 18,667 €/kg"
"Aceite, especias y salsas",Especias,Pimentón dulce de la Vera Hacendado,Bote 75 g,"1,75 € /ud.",34102," 23,334 €/kg"
"Aceite, especias y salsas",Especias,Azafrán molido Hacendado,"Paquete 4 sobres (0,4 g)","1,75 € /ud.",34116," 437,50 €/100 g"
"Aceite, especias y salsas",Especias,Azafrán hebra Hacendado,"Paquete 3 usos (0,38 g)","1,70 € /ud.",34115," 459,46 €/100 g"
"Aceite, especias y salsas",Especias,Pimentón picante Hacendado,Bote 60 g,"1,35 € /ud.",34183," 22,50 €/kg"
"Aceite, especias y salsas",Especias,Pimienta negra molida Hacendado,Bote 70 g,"1,05 € /ud.",34171," 15,00 €/kg"
"Aceite, especias y salsas",Especias,Molinillo pimienta negra Hacendado,Bote 65 g,"1,65 € /ud.",67693," 25,385 €/kg"
"Aceite, especias y salsas",Especias,Pimienta negra en grano Hacendado,Bote 70 g,"1,45 € /ud.",34172," 20,715 €/kg"
"Aceite, especias y salsas",Especias,Molinillo mix pimientas Hacendado,Bote 50 g,"1,85 € /ud.",67694," 37,00 €/kg"
"Aceite, especias y salsas",Especias,Pimienta blanca molida Hacendado,Bote 70 g,"2,15 € /ud.",34170," 30,715 €/kg"
"Aceite, especias y salsas",Especias,Ajo granulado Hacendado,Bote 115 g,"1,15 €1,10 € /ud.",86656," 9,566 €/kg"
"Aceite, especias y salsas",Especias,Cebolla frita crujiente Hacendado,Bote 150 g,"1,15 € /ud.",34208," 7,667 €/kg"
"Aceite, especias y salsas",Especias,Canela molida Hacendado,Bote 52 g,"0,95 € /ud.",34177," 18,27 €/kg"
"Aceite, especias y salsas",Especias,Canela en rama Hacendado,Bote 19 g,"1,45 € /ud.",52880," 7,632 €/100 g"
"Aceite, especias y salsas",Especias,Comino molido Hacendado,Bote 58 g,"1,20 € /ud.",34120," 20,69 €/kg"
"Aceite, especias y salsas",Especias,Comino en grano Hacendado,Bote 56 g,"1,95 € /ud.",34121," 34,822 €/kg"
"Aceite, especias y salsas",Especias,Curry Hacendado,Bote 57 g,"1,15 € /ud.",34125," 20,176 €/kg"
"Aceite, especias y salsas",Especias,Nuez moscada molida Hacendado,Bote 58 g,"1,65 € /ud.",34173," 28,449 €/kg"
"Aceite, especias y salsas",Especias,Cebolla en polvo Hacendado,Bote 60 g,"0,96 € /ud.",34138," 16,00 €/kg"
"Aceite, especias y salsas",Especias,Cayena guindillas Hacendado,Bote 27 g,"1,30 € /ud.",34178," 4,815 €/100 g"
"Aceite, especias y salsas",Especias,Cayena molida Hacendado,Bote 55 g,"1,59 € /ud.",37417," 28,91 €/kg"
"Aceite, especias y salsas",Especias,Cúrcuma Hacendado,Bote 60 g,"1,25 € /ud.",34163," 20,834 €/kg"
"Aceite, especias y salsas",Especias,Jengibre molido Hacendado,Bote 49 g,"1,65 € /ud.",34149," 3,368 €/100 g"
"Aceite, especias y salsas",Especias,Sal de ajo Hacendado,Bote 130 g,"1,80 € /ud.",34130," 13,847 €/kg"
"Aceite, especias y salsas",Especias,Clavo en grano Hacendado,Bote 42 g,"1,75 € /ud.",34122," 4,167 €/100 g"
"Aceite, especias y salsas",Especias,Piñones Hacendado,Bote 70 g,"2,84 € /ud.",60869," 40,572 €/kg"
"Aceite, especias y salsas",Especias,Picada catalana Hacendado,Bote 25 g,"1,95 € /ud.",52709," 7,80 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador para fajitas Hacendado sabor tex-mex,Sobre 17 g,"0,85 € /ud.",23353," 5,00 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador ajo y limón Hacendado para carne y pescado,Sobre 30 g,"1,05 € /ud.",11971," 3,50 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador hierbas provenzales Hacendado para pollo y costillas,Sobre 24 g,"1,00 € /ud.",11972," 4,167 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador sabor barbacoa Hacendado para carne,Sobre 57 g,"1,35 € /ud.",86659," 23,685 €/kg"
"Aceite, especias y salsas",Especias,Sazonador para paella con azafrán Hacendado,Caja 5 sobres (20 g),"1,45 € /ud.",34702," 7,25 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador para burritos Hacendado,Sobre 40 g,"1,30 € /ud.",17147," 3,25 €/100 g"
"Aceite, especias y salsas",Especias,Sazonador pollo y carne Hacendado,Bote 76 g,"1,50 € /ud.",86808," 19,737 €/kg"
"Aceite, especias y salsas",Especias,Sazonador pasta Hacendado,Bote 45 g,"2,50 € /ud.",34134," 5,556 €/100 g"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 500 ml,"1,25 € /ud.",13406," 2,50 €/L"
