product_code,description,category,subcategory
4240.0,"Aceite de oliva 0,4º Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal"
4717.0,Aceite de oliva virgen extra Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4740.0,Aceite de oliva virgen extra Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4706.0,Aceite de oliva virgen extra Hacendado Gran Selección,"Aceite, especias y salsas","Aceite, vinagre y sal"
4640.0,Aceite de oliva 1º Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4711.0,Aceite de oliva virgen Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4749.0,Aceite de oliva virgen Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4204.0,Aceite de oliva suave Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4609.0,Aceite de oliva intenso Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4718.0,Aceite de oliva virgen extra Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4850.0,Aceite de oliva virgen extra Picual Casa Juncal,"Aceite, especias y salsas","Aceite, vinagre y sal"
4041.0,"Aceite de girasol refinado 0,2º Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal"
4040.0,"Aceite de girasol refinado 0,2º Hacendado","Aceite, especias y salsas","Aceite, vinagre y sal"
4193.0,Aceite de coco virgen Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4940.0,Vinagre de vino blanco Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4957.0,Vinagre de manzana Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4903.0,Limón exprimido Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4908.0,Crema de vinagre balsámico de Módena Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
13609.0,Vinagre de Jerez reserva Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
66905.0,Bebida aromatizada a base de vino para cocinar Abuela Carola,"Aceite, especias y salsas","Aceite, vinagre y sal"
15843.0,Vinagre de vino tinto Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4905.0,Reducción de vinagre Pedro Ximénez Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
4962.0,"Aceite de oliva, vinagre y sal Merry","Aceite, especias y salsas","Aceite, vinagre y sal"
7104.0,Aliño viandox Knorr,"Aceite, especias y salsas","Aceite, vinagre y sal"
26496.0,Vinagre balsámico de Módena Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
26497.0,Vinagre de manzana Hacendado sin filtrar,"Aceite, especias y salsas","Aceite, vinagre y sal"
19731.0,Sal fina Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19715.0,Sal fina de mesa Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19732.0,Sal yodada fina Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19733.0,Sal gruesa Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
29007.0,Bicarbonato sódico Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
29006.0,Bicarbonato sódico Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19740.0,Sal marina en escamas Polasal,"Aceite, especias y salsas","Aceite, vinagre y sal"
19734.0,Sal gruesa para hornear Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
34130.0,Sal de ajo Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
29016.0,Sal de frutas sabor limón Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19713.0,Sal 60% menos de sodio Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19726.0,Preparado para salmón ahumado Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
19701.0,Sal rosa del Himalaya Hacendado,"Aceite, especias y salsas","Aceite, vinagre y sal"
5598.0,Orégano Hacendado,"Aceite, especias y salsas",Especias
5599.0,Perejil Hacendado,"Aceite, especias y salsas",Especias
47994.0,Hoja de laurel Hacendado,"Aceite, especias y salsas",Especias
34131.0,Hierbas provenzales Hacendado,"Aceite, especias y salsas",Especias
34128.0,Albahaca Hacendado,"Aceite, especias y salsas",Especias
34175.0,Romero Hacendado,"Aceite, especias y salsas",Especias
5547.0,Tomillo Hacendado,"Aceite, especias y salsas",Especias
52739.0,Eneldo Hacendado,"Aceite, especias y salsas",Especias
34721.0,Cilantro Hacendado,"Aceite, especias y salsas",Especias
60873.0,Ajo y Perejil Hacendado,"Aceite, especias y salsas",Especias
34182.0,Colorante alimentario Hacendado,"Aceite, especias y salsas",Especias
34184.0,Pimentón dulce Hacendado,"Aceite, especias y salsas",Especias
34186.0,Pimentón dulce Hacendado,"Aceite, especias y salsas",Especias
34102.0,Pimentón dulce de la Vera Hacendado,"Aceite, especias y salsas",Especias
34116.0,Azafrán molido Hacendado,"Aceite, especias y salsas",Especias
34115.0,Azafrán hebra Hacendado,"Aceite, especias y salsas",Especias
34183.0,Pimentón picante Hacendado,"Aceite, especias y salsas",Especias
34171.0,Pimienta negra molida Hacendado,"Aceite, especias y salsas",Especias
67693.0,Molinillo pimienta negra Hacendado,"Aceite, especias y salsas",Especias
34172.0,Pimienta negra en grano Hacendado,"Aceite, especias y salsas",Especias
67694.0,Molinillo mix pimientas Hacendado,"Aceite, especias y salsas",Especias
34170.0,Pimienta blanca molida Hacendado,"Aceite, especias y salsas",Especias
86656.0,Ajo granulado Hacendado,"Aceite, especias y salsas",Especias
34208.0,Cebolla frita crujiente Hacendado,"Aceite, especias y salsas",Especias
34177.0,Canela molida Hacendado,"Aceite, especias y salsas",Especias
52880.0,Canela en rama Hacendado,"Aceite, especias y salsas",Especias
34120.0,Comino molido Hacendado,"Aceite, especias y salsas",Especias
34121.0,Comino en grano Hacendado,"Aceite, especias y salsas",Especias
34125.0,Curry Hacendado,"Aceite, especias y salsas",Especias
34173.0,Nuez moscada molida Hacendado,"Aceite, especias y salsas",Especias
34138.0,Cebolla en polvo Hacendado,"Aceite, especias y salsas",Especias
34178.0,Cayena guindillas Hacendado,"Aceite, especias y salsas",Especias
37417.0,Cayena molida Hacendado,"Aceite, especias y salsas",Especias
34163.0,Cúrcuma Hacendado,"Aceite, especias y salsas",Especias
34149.0,Jengibre molido Hacendado,"Aceite, especias y salsas",Especias
34130.0,Sal de ajo Hacendado,"Aceite, especias y salsas",Especias
34122.0,Clavo en grano Hacendado,"Aceite, especias y salsas",Especias
60869.0,Piñones Hacendado,"Aceite, especias y salsas",Especias
52709.0,Picada catalana Hacendado,"Aceite, especias y salsas",Especias
23353.0,Sazonador para fajitas Hacendado sabor tex-mex,"Aceite, especias y salsas",Especias
11971.0,Sazonador ajo y limón Hacendado para carne y pescado,"Aceite, especias y salsas",Especias
11972.0,Sazonador hierbas provenzales Hacendado para pollo y costillas,"Aceite, especias y salsas",Especias
86659.0,Sazonador sabor barbacoa Hacendado para carne,"Aceite, especias y salsas",Especias
34702.0,Sazonador para paella con azafrán Hacendado,"Aceite, especias y salsas",Especias
17147.0,Sazonador para burritos Hacendado,"Aceite, especias y salsas",Especias
86808.0,Sazonador pollo y carne Hacendado,"Aceite, especias y salsas",Especias
34134.0,Sazonador pasta Hacendado,"Aceite, especias y salsas",Especias
13406.0,Mayonesa Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
52728.0,Mayonesa Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
13407.0,Mayonesa Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
23816.0,Mayonesa en sobres individuales,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35840.0,Mayonesa Hellmann's,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
17052.0,Mayonesa Hellmann's,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35839.0,Salsa ligera Ligeresa,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35838.0,Salsa ligera Ligeresa,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
17039.0,Salsa ligera Ligeresa,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
17038.0,Mayonesa Ybarra,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35361.0,Salsa fina Kraft,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
15793.0,Salsa ligera Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
15794.0,Salsa ligera Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
23579.0,Ketchup Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
67586.0,Ketchup Hacendado en sobres individuales,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35837.0,Ketchup Heinz,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
35343.0,Ketchup zero azúcares añadidos Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
17229.0,Mostaza a la antigua Hacendado,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza"
