categoria,subcategoria,descripcion,unidades,code,compare,price_eu,price_disc_eu,marca,format,quantity
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado",Botella 1 L,4240.0," 9,25 €/L",9.25,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Garrafa 3 L,4717.0," 9,85 €/L",29.55,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Botella 1 L,4740.0," 9,90 €/L",9.9,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,4706.0," 10,80 €/L",8.1,,Hacendado,Botella,1 x 750 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,Botella 1 L,4640.0," 9,25 €/L",9.25,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Garrafa 3 L,4711.0," 9,50 €/L",28.5,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Botella 1 L,4749.0," 9,55 €/L",9.55,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva suave Hacendado,Garrafa 3 L,4204.0," 9,20 €/L",27.6,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva intenso Hacendado,Garrafa 3 L,4609.0," 9,20 €/L",27.6,,Hacendado,Garrafa,1 x 3 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Spray 200 ml,4718.0," 16,50 €/L",3.3,,Hacendado,Spray,1 x 200 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,4850.0," 15,70 €/L",7.85,,,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,4041.0," 1,35 €/L",6.95,6.75,Hacendado,Garrafa,1 x 5 L
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,4040.0," 1,45 €/L",1.45,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de coco virgen Hacendado,Bote 450 ml,4193.0," 9,778 €/L",4.4,,Hacendado,Bote,1 x 450 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado,Botella 1 L,4940.0," 0,75 €/L",0.75,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado,Botella 1 L,4957.0," 0,90 €/L",0.9,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Limón exprimido Hacendado,Botella 280 ml,4903.0," 3,572 €/L",1.0,,Hacendado,Botella,1 x 280 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,4908.0," 7,00 €/kg",1.75,,Hacendado,Botella,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de Jerez reserva Hacendado,Botella 250 ml,13609.0," 8,00 €/L",2.0,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,66905.0," 3,134 €/L",2.35,,,Botella,1 x 750 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino tinto Hacendado,Botella 1 L,15843.0," 1,00 €/L",1.0,,Hacendado,Botella,1 x 1 L
"Aceite, especias y salsas","Aceite, vinagre y sal",Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,4905.0," 7,50 €/kg",2.25,,Hacendado,Botella,1 x 300 g
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,4962.0," 22,00 €/L",2.2,,,monodosis,15 x 10 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Aliño viandox Knorr,Botella 160 ml,7104.0," 15,25 €/L",3.05,,,Botella,1 x 160 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre balsámico de Módena Hacendado,Botella 500 ml,26496.0," 5,00 €/L",2.5,,Hacendado,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado sin filtrar,Botella 500 ml,26497.0," 3,40 €/L",1.7,,Hacendado,Botella,1 x 500 ml
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina Hacendado,Paquete 1 kg,19731.0," 0,35 €/kg",0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina de mesa Hacendado,Bote 250 g,19715.0," 2,40 €/kg",0.6,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal yodada fina Hacendado,Paquete 1 kg,19732.0," 0,35 €/kg",0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa Hacendado,Paquete 1 kg,19733.0," 0,35 €/kg",0.35,,Hacendado,Paquete,1 x 1 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Paquete 1 kg,29007.0," 1,50 €/kg",1.5,,Hacendado,Paquete,1 x 1 kg
