category,subcategory,description,price_eu,compare,brand
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado Botella 1 L",9.25," 9,25 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Garrafa 3 L,29.55," 9,85 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Botella 1 L,9.9," 9,90 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección Botella 750 ml,8.1," 10,80 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado Botella 1 L,9.25," 9,25 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado Garrafa 3 L,28.5," 9,50 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado Botella 1 L,9.55," 9,55 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva suave Hacendado Garrafa 3 L,27.6," 9,20 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva intenso Hacendado Garrafa 3 L,27.6," 9,20 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Spray 200 ml,3.3," 16,50 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal Botella 500 ml,7.85," 15,70 €/L",
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado Garrafa 5 L",6.95," 1,35 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado Botella 1 L",1.45," 1,45 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de coco virgen Hacendado Bote 450 ml,4.4," 9,778 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado Botella 1 L,0.75," 0,75 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado Botella 1 L,0.9," 0,90 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Limón exprimido Hacendado Botella 280 ml,1.0," 3,572 €/L",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Crema de vinagre balsámico de Módena Hacendado Botella 250 g,1.75," 7,00 €/kg",Hacendado
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de Jerez reserva Hacendado Botella 250 ml,2.0," 8,00 €/L",Hacendado
